QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
454,248,<characters>,2011-08-22 14:31:50.330,,4,96,0,0
475,65,<untagged>,2011-08-23 03:43:26.180,,6,48,,2
477,94,<book-recommendations>,2011-08-23 08:41:47.820,503,3,49,1,
487,101,<reading-order><charles-dickens>,2011-08-23 19:26:39.307,488,3,198,3,
492,101,<history><publishing-procedure>,2011-08-23 22:56:44.240,494,19,263,2,5
493,124,<character-reuse><shared-universe>,2011-08-24 00:10:41.367,555,3,86,2,2
495,124,<bible><religious-works>,2011-08-24 01:16:57.207,,5,142,0,
509,284,<poetry>,2011-08-24 14:48:57.357,,4,106,2,
526,124,<history><plot-clarification><thomas-pynchon>,2011-08-24 23:54:32.023,,6,103,2,1
530,80,<victor-hugo><les-miserables>,2011-08-25 03:59:48.260,,11,205,3,2
536,168,<characters><analysis><symbol>,2011-08-25 12:18:17.373,541,8,397,2,5
543,303,<adventure><translations>,2011-08-25 14:28:57.167,1306,5,77,1,2
545,217,<book-recommendations><novels>,2011-08-25 16:38:03.937,559,6,176,4,4
547,30,<book-recommendations><author-recommendations>,2011-08-25 19:27:15.777,554,2,289,3,
560,336,<book-recommendations><fairy-tales>,2011-08-26 09:16:24.593,562,5,151,4,
565,99,<isaac-asimov>,2011-08-26 14:06:25.390,,7,464,0,4
568,65,<book-recommendations><biography>,2011-08-26 16:23:17.600,569,2,41,1,
571,212,<detective-fiction>,2011-08-26 19:45:04.167,775,2,104,1,1
576,112,<reading-order><gk-chesterton><reading-level>,2011-08-26 22:22:24.033,689,12,114,2,
579,342,<book-recommendations><author-recommendations><german-literature>,2011-08-27 03:04:26.693,635,4,86,2,2
581,227,<book-recommendations><thomas-pynchon>,2011-08-27 06:38:41.083,582,7,152,4,1
610,101,<gk-chesterton>,2011-08-28 03:00:26.777,621,2,100,2,
611,159,<book-recommendations><symbol>,2011-08-28 09:02:14.937,622,3,96,2,2
634,355,<influences>,2011-08-29 21:26:18.110,817,4,95,1,
641,361,<poetry><analysis>,2011-08-30 18:53:11.920,,3,115,1,2
645,370,<story-identification><fiction>,2011-08-30 23:30:10.463,,6,91,,4
652,30,<story-identification><science-fiction>,2011-08-31 19:43:47.843,,8,144,0,
657,30,<story-identification>,2011-09-01 05:00:12.673,664,5,70,1,
658,190,<harry-potter>,2011-09-01 06:58:00.050,,13,536,0,1
662,101,<book-recommendations><science-fiction>,2011-09-01 18:28:29.277,1160,6,148,3,7
666,382,<history><analysis>,2011-09-02 12:59:33.763,,11,151,0,
673,10,<analysis><lord-of-the-rings><symbolism>,2011-09-04 00:31:31.927,,14,196,0,
675,355,<story-identification>,2011-09-04 21:06:38.953,,9,114,,2
680,30,<story-identification>,2011-09-06 15:03:01.710,688,3,71,1,
682,409,<translations>,2011-09-06 19:54:23.020,827,6,76,1,2
690,409,<translations>,2011-09-06 23:10:05.267,,6,74,2,6
696,81,<william-shakespeare>,2011-09-07 06:25:05.033,697,11,121,2,
699,227,<translations><juan-rulfo>,2011-09-07 08:59:54.493,700,4,159,2,
705,38,<book-recommendations><bible>,2011-09-07 14:48:09.837,,8,158,6,6
711,10,<publishers>,2011-09-09 05:31:28.823,721,4,38,1,0
726,358,<reading-level>,2011-09-10 21:49:25.860,740,7,90,2,2
732,72,<victorian>,2011-09-11 03:59:27.067,781,8,58,1,2
734,227,<classics><spanish-literature><cervantes><original-language>,2011-09-11 08:49:35.283,,6,80,1,
735,30,<story-identification>,2011-09-11 16:47:48.763,,6,109,0,
743,433,<book-recommendations>,2011-09-11 20:04:58.967,744,14,198,4,3
749,30,<william-shakespeare>,2011-09-12 18:01:15.973,750,8,138,1,
756,205,<analysis><meaning>,2011-09-13 05:05:31.537,,6,143,1,
765,38,<price>,2011-09-13 16:29:30.330,776,4,73,1,6
768,450,<book-recommendations><childrens-book>,2011-09-13 22:07:43.023,771,6,235,7,0
778,44,<meaning><charlotte-perkins-gilman><significance>,2011-09-14 13:41:56.373,793,5,67,1,4
780,450,<childrens-book>,2011-09-14 18:26:27.107,790,4,58,1,2
786,81,<novels><meaning>,2011-09-15 06:49:25.490,852,8,386,3,1
792,467,<book-recommendations><detective-fiction><terminology>,2011-09-16 02:00:50.640,798,6,160,2,3
803,64,<vintage><book-identification><publishing-date>,2011-09-16 21:49:00.987,808,19,137,5,2
809,475,<book-recommendations><fantasy><author-recommendations>,2011-09-17 21:05:32.440,,17,701,6,10
811,409,<publishing>,2011-09-18 00:11:20.107,814,10,86,1,3
823,490,<meaning>,2011-09-19 16:51:15.490,,10,254,0,4
832,248,<pg-wodehouse><plays>,2011-09-20 13:14:59.987,,5,73,3,
837,186,<characters><19th-century><russian-literature>,2011-09-21 06:05:47.487,838,9,155,1,2
839,124,<poetry>,2011-09-21 14:48:43.080,,8,188,3,3
844,450,<story-identification><childrens-book>,2011-09-22 14:28:21.650,887,3,283,1,4
855,30,<story-identification>,2011-09-23 18:32:40.677,856,7,107,1,
860,149,<harry-potter>,2011-09-25 20:04:23.783,,7,152,0,6
862,514,<spanish-literature><cervantes>,2011-09-25 22:58:08.307,863,11,120,1,
868,30,<fantasy><jrr-tolkien><lord-of-the-rings>,2011-09-27 13:57:44.737,870,12,246,3,2
871,30,<story-identification><hatchet><gary-paulsen>,2011-09-28 06:42:17.040,873,3,128,1,
872,30,<story-identification>,2011-09-28 06:49:23.443,874,3,88,2,
878,522,<story-identification>,2011-09-28 19:53:10.877,,5,102,,5
880,56,<book-recommendations><poetry>,2011-09-30 04:32:59.973,881,2,83,1,3
884,528,<analysis>,2011-09-30 20:25:51.660,,9,94,1,
891,111,<life-of-pi><yann-martel>,2011-10-04 18:30:28.600,892,11,110,2,5
898,535,<analysis><philip-k-dick>,2011-10-07 03:45:57.420,,7,178,0,
899,144,<novels><author-information><politics>,2011-10-07 10:48:32.497,,11,107,1,
900,132,<life-of-pi><yann-martel>,2011-10-07 13:21:35.730,,10,175,3,1
901,132,<story-identification><childrens-book>,2011-10-07 13:37:18.670,902,4,48,1,
903,217,<story-identification><childrens-book>,2011-10-07 16:51:34.157,931,7,364,2,3
908,56,<influences>,2011-10-08 20:43:46.240,922,5,247,2,
910,541,<book-recommendations>,2011-10-09 00:32:34.153,,6,263,5,3
913,201,<book-recommendations><science-fiction><society>,2011-10-05 00:57:58.047,,4,90,3,4
916,542,<charles-dickens>,2011-10-09 18:44:26.933,,6,80,1,
923,391,<publishing>,2011-10-10 06:12:08.547,929,3,59,1,6
924,121,<novels><fantasy><series>,2011-10-10 07:23:51.493,,-1,48,1,1
928,248,<publishing>,2011-10-12 12:23:18.867,988,2,53,1,
932,553,<symbol>,2011-10-13 15:50:41.763,,0,57,,4
933,556,<meaning><william-shakespeare>,2011-10-16 05:14:16.490,935,9,150,1,
937,558,<novels><genre>,2011-10-16 15:26:58.583,,2,95,2,6
955,561,<translations><religious-works>,2011-10-19 18:13:07.750,,9,105,3,1
960,566,<analysis><victorian>,2011-10-20 10:36:41.963,,3,75,1,
961,528,<analysis><mogworld><ben-croshaw>,2011-10-20 20:53:11.563,,4,77,0,1
963,570,<novels><analysis><william-golding>,2011-10-20 22:19:19.567,979,13,108,1,
964,536,<novels><analysis><american-literature><william-faulkner>,2011-10-21 12:44:16.970,973,8,133,2,3
972,572,<book-recommendations>,2011-10-22 10:25:12.323,,0,94,2,4
974,571,<book-identification><pg-wodehouse>,2011-10-23 10:27:02.873,,-3,88,1,4
984,571,<analysis><jack-schaefer>,2011-10-25 13:17:35.087,,2,50,1,1
990,44,<mastiff><tamora-pierce>,2011-10-26 16:04:48.077,,4,243,0,
991,579,<book-recommendations><technology><collectors-edition><bookshelf>,2011-10-26 21:39:45.510,,4,91,1,12
997,583,<symbol><kurt-vonnegut>,2011-10-28 00:26:04.210,,6,455,0,3
998,44,<analysis><pleasure-pilgrim>,2011-10-28 15:18:03.503,1076,5,70,1,
1007,586,<novels><characters><meaning>,2011-10-30 08:44:52.727,,9,199,3,2
1009,579,<book-recommendations>,2011-10-31 12:14:14.593,,2,195,1,9
1011,536,<mogworld><ben-croshaw>,2011-10-31 12:47:23.037,,4,45,,2
1014,44,<tamora-pierce>,2011-11-01 19:26:45.700,,4,51,0,
1022,30,<twilight>,2011-11-02 18:48:03.777,,4,222,0,3
1024,186,<pedagogy><teaching><students><literary-devices><undergraduate>,2011-11-03 08:09:41.603,,7,384,1,3
1027,44,<charlotte-perkins-gilman><the-yellow-wallpaper>,2011-11-03 18:56:49.953,1029,4,102,1,
1030,536,<godel-escher-bach><douglas-hofstadter>,2011-11-04 12:37:46.767,1031,12,114,1,2
1032,227,<book-recommendations><translations>,2011-11-05 11:16:21.160,,2,103,2,9
1036,36,<book-recommendations><poetry><classics><lucretius>,2011-11-06 17:13:53.497,1038,7,63,1,
1037,596,<novels><history><fiction><british-literature>,2011-11-06 19:25:10.310,,11,68,1,
1040,598,<short-stories><plot-clarification>,2011-11-07 10:58:44.377,,3,143,2,
1042,38,<book-recommendations><history><world-war-ii>,2011-11-08 16:02:15.700,,6,213,4,4
1047,246,<poetry><meaning><interpretation>,2011-11-08 19:03:14.960,,6,217,0,
1049,408,<analysis><charles-dickens>,2011-11-08 21:55:29.727,,4,209,1,2
1053,44,<king-arthur>,2011-11-10 16:28:45.633,1054,11,134,1,1
1056,77,<classics><british-literature><jane-eyre><charlotte-bronte>,2011-11-11 14:56:38.770,1164,7,117,1,
1057,77,<hitchhikers-guide><douglas-adams>,2011-11-11 15:16:11.570,,10,112,0,1
1060,204,<book-recommendations><creation-myths>,2011-11-12 06:31:24.300,1115,5,69,1,
1061,111,<fairy-tales>,2011-11-14 23:27:06.010,1113,7,215,3,2
1062,12,<book-recommendations><fantasy><thiefs>,2011-11-15 04:44:52.920,1066,8,407,8,3
1064,610,<story-identification>,2011-11-15 05:13:20.617,,5,61,1,
1067,615,<meaning><modernism>,2011-11-16 12:31:46.660,,7,148,2,2
1072,620,<publishing><adaptations>,2011-11-17 03:36:20.620,1075,3,57,1,2
1073,621,<story-identification>,2011-11-17 13:00:03.103,,10,123,,4
1074,592,<charles-dickens><british-literature><setting>,2011-11-17 15:08:03.933,1119,9,113,1,1
1089,355,<analysis><popol-vuh>,2011-11-19 21:22:46.677,,3,117,0,2
1090,355,<influences>,2011-11-19 21:27:44.153,1095,7,73,1,
1101,256,<story-identification><childrens-book>,2011-11-22 04:03:57.583,1139,3,116,1,5
1104,80,<novels><history><technology><aviation><saint-exupery>,2011-11-23 04:28:47.887,1106,5,67,1,2
1105,227,<translations><hermann-hesse><publishers><publishing-date>,2011-11-23 21:01:50.187,,5,114,2,1
1108,99,<book-identification><quantum-thief>,2011-11-24 20:10:41.643,,4,104,0,
1110,637,<characters><william-shakespeare>,2011-11-25 20:13:44.207,1112,11,184,2,
1111,355,<thomas-pynchon>,2011-11-26 13:50:18.620,1163,7,108,2,5
1116,44,<once-and-future-king><t-h-white>,2011-11-27 04:45:30.787,,4,112,,2
1117,44,<once-and-future-king><t-h-white>,2011-11-27 04:56:09.017,,8,141,0,
1123,542,<author-information><british-literature><social-structure><hg-wells>,2011-11-29 20:39:34.883,,4,98,2,11
1127,355,<author-information>,2011-12-01 12:23:07.720,1128,3,61,1,
1134,355,<history><greek-literature><persian-literature>,2011-12-04 22:51:26.783,,4,27,,4
1137,35,<author-recommendations><john-macduff>,2011-12-05 16:18:29.880,,2,24,,
1141,666,<book-recommendations><education>,2011-12-06 11:15:22.197,1143,1,70,1,9
1144,669,<classics><homer><greek-literature>,2011-12-07 18:04:19.007,1157,5,81,1,4
1145,671,<book-identification>,2011-12-08 07:22:57.240,,2,41,1,1
1158,693,<book-identification>,2011-12-14 14:31:42.923,1165,3,60,1,3
1167,698,<novels><fiction><charles-dickens>,2011-12-17 01:17:47.160,1168,6,282,2,3
1169,528,<the-handmaids-tale><margaret-atwood>,2011-12-17 15:43:48.640,1171,2,102,1,
1170,528,<the-handmaids-tale><margaret-atwood>,2011-12-17 15:57:46.730,1172,4,80,1,
1174,702,<book-recommendations>,2011-12-19 07:52:27.487,,6,94,2,2
1177,,<book-recommendations><biography>,2011-12-20 15:59:27.400,,8,87,1,0
1179,80,<saint-exupery>,2011-12-21 05:24:31.210,,4,21,,
1180,660,<translations><publishing>,2011-12-21 06:19:55.583,,2,125,1,1
1185,724,<british-literature>,2011-12-24 16:54:23.897,1186,3,57,1,
1187,355,<manuscripts>,2011-12-27 13:51:18.573,,4,35,,1
1188,355,<history><classics><greek-literature><buddhist-literature>,2011-12-27 13:56:09.707,,2,54,1,1
1190,731,<book-recommendations><students>,2011-12-28 12:20:20.583,,6,343,12,3
1193,30,<stieg-larsson>,2011-12-28 16:34:01.293,1204,5,42,1,
1194,30,<stieg-larsson>,2011-12-28 17:53:46.543,1195,3,74,1,1
1196,44,<stieg-larsson>,2011-12-29 01:03:37.397,1200,5,136,2,
1198,30,<stieg-larsson>,2011-12-30 15:09:14.740,1233,3,83,3,2
1201,355,<british-literature><william-shakespeare><middle-east><literary-criticism>,2011-12-30 16:34:27.930,1217,5,93,1,
1202,355,<umberto-eco><finnegans-wake>,2011-12-30 17:02:28.920,1205,4,59,1,
1203,32,<stieg-larsson>,2011-12-30 20:37:30.207,1239,3,329,1,
1208,741,<british-literature><catch-22><joseph-heller>,2011-12-31 19:59:28.243,1211,3,61,1,2
1209,741,<british-literature><catch-22><joseph-heller>,2011-12-31 20:08:12.163,,3,59,1,
1210,149,<catch-22><joseph-heller><paradox>,2011-12-31 21:27:06.240,,1,105,,6
1214,355,<thomas-pynchon><gravitys-rainbow>,2012-01-01 16:02:55.517,1216,2,45,1,
1218,117,<original-language>,2012-01-02 16:49:26.647,1224,3,30,1,1
1219,30,<stieg-larsson><girl-with-dragon-tattoo>,2012-01-02 17:10:18.793,1220,5,467,2,
1221,745,<story-identification>,2012-01-02 20:18:55.020,1223,4,55,1,3
1225,355,<author-information><influences>,2012-01-03 21:57:43.667,,4,40,1,
1226,355,<ovid><latin-literature><epic-poetry><mythology><book-structure>,2012-01-03 23:13:19.143,,5,74,1,
1230,227,<translations><spanish-literature><gabriel-garcia-marquez>,2012-01-04 18:08:01.760,,2,49,1,2
1236,355,<john-le-carre><communism><topic-of-the-week>,2012-01-06 12:22:50.073,1241,4,51,1,
1237,355,<john-le-carre><london><geography-in-fiction><topic-of-the-week>,2012-01-06 14:07:43.410,,3,46,2,
1238,355,<bible><john-le-carre><topic-of-the-week>,2012-01-06 16:09:28.830,1240,4,48,1,1
1245,759,<classics>,2012-01-07 22:42:35.980,1246,3,57,1,1
1253,570,<plays>,2012-01-10 19:28:10.733,,3,52,,3
1256,765,<story-identification><science-fiction>,2012-01-10 22:53:25.377,,5,117,0,3
1258,767,<book-recommendations><nightside><simon-r-green>,2012-01-11 20:04:18.033,,2,57,2,3
1260,769,<analysis><meaning>,2012-01-12 08:27:35.647,,9,99,0,2
1261,770,<book-recommendations><fantasy><heros-journey><monsters>,2012-01-12 13:31:12.030,,4,185,4,2
1265,536,<book-recommendations><science-fiction>,2012-01-12 20:50:02.093,,2,221,6,4
1266,689,<analysis><history><fiction><jd-salinger>,2012-01-13 09:17:35.083,1267,7,297,1,
1270,689,<analysis><jane-eyre>,2012-01-14 11:27:27.223,1271,4,96,1,
1272,776,<book-recommendations><science-fiction><techno-thriller>,2012-01-15 10:52:30.553,,4,218,8,3
1273,777,<story-identification><book-identification><mystery>,2012-01-15 14:29:29.640,1282,5,66,1,
1277,101,<cs-lewis>,2012-01-16 01:26:25.027,,3,70,0,
1279,782,<book-recommendations>,2011-09-07 04:51:35.293,1285,6,406,5,2
1294,787,<book-recommendations>,2012-01-18 13:36:24.007,,2,40,1,
1299,762,<story-identification><fantasy><short-stories>,2012-01-19 04:46:12.397,,2,53,0,
1301,730,<story-identification>,2012-01-19 09:21:16.390,1302,8,77,1,
1305,778,<book-recommendations><steinbeck><travel>,2012-01-20 21:11:28.900,,3,55,1,3
1307,793,<book-recommendations><fiction><jaroslav-hasek><the-good-soldier-svejk>,2012-01-21 20:57:31.460,1343,3,53,1,1
1309,137,<author-information>,2012-01-21 21:41:13.613,,5,99,1,0
1310,117,<robert-w-chambers>,2012-01-21 19:42:52.027,1314,4,33,1,0
1316,137,<analysis><novels>,2012-01-23 10:25:11.103,,1,43,,
1319,724,<greek-literature><mythology>,2012-01-24 00:37:01.903,,3,110,2,
1322,775,<book-identification>,2012-01-25 18:26:32.113,,6,35,,4
1323,763,<novels><plot-clarification><interpretation>,2012-01-25 19:21:17.487,,2,165,,2
1324,763,<book-recommendations><novels><fiction><author-recommendations>,2012-01-25 19:30:48.517,1329,1,97,5,3
1326,801,<translations>,2012-01-26 05:49:40.007,,2,99,2,2
1330,30,<suzanne-collins><the-hunger-games>,2012-01-26 14:45:21.087,,3,113,1,
1338,80,<book-recommendations><science-fiction><horror>,2012-01-26 09:39:12.557,1339,6,178,8,1
1340,243,<author-information><literary-devices>,2012-01-27 22:30:22.547,,2,28,,
1342,359,<book-recommendations><british-literature><fiction>,2012-01-29 04:54:06.953,,6,106,2,2
1345,56,<analysis><reading-order><author-information><proust>,2012-01-29 19:46:46.460,1610,7,164,3,4
1352,99,<translations>,2012-01-30 16:54:41.450,1358,1,27,1,
1353,99,<story-identification><author-information>,2012-01-30 17:11:51.813,1357,3,46,1,
1360,824,<book-recommendations><history><ebooks><mythology>,2012-02-02 13:32:46.013,,3,96,1,4
1361,536,<shel-silverstein>,2012-02-02 14:05:59.427,,8,123,1,2
1363,825,<book-recommendations><novels><george-orwell>,2012-02-02 16:21:57.183,,2,91,,4
1365,828,<book-identification><identification>,2012-02-03 11:29:54.423,1366,4,123,2,4
1367,317,<book-recommendations><author-recommendations>,2012-02-04 14:24:30.737,1368,2,156,3,
1369,831,<story-identification><childrens-book>,2012-02-04 19:43:27.893,,3,85,1,1
1374,835,<analysis>,2012-02-05 08:36:59.880,,3,164,3,
1473,897,<plot-clarification>,2012-01-29 02:05:05.343,1474,3,28,1,
