QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
256,372.0,<general-relativity><hamiltonian-mechanics>,2011-10-12 11:10:32.823,257.0,9,323,1.0,1.0,257,109.0,256,2011-10-12 12:26:09.557,13,13.0
261,168.0,<quantum-field-theory><yang-mills-theory>,2011-10-12 20:20:27.757,262.0,8,304,2.0,,262,109.0,261,2011-10-12 21:08:13.863,8,9.0
263,318.0,<quantum-field-theory><hep-th>,2011-10-12 23:34:51.160,356.0,14,694,3.0,2.0,356,501.0,263,2011-10-22 04:01:48.090,10,4.0
278,457.0,<conformal-field-theory>,2011-10-14 08:27:58.023,280.0,2,332,3.0,3.0,280,109.0,278,2011-10-14 12:53:51.593,7,0.0
282,406.0,<hep-th><string-theory><gauge-theory><adscft>,2011-10-14 21:18:23.807,284.0,12,308,1.0,,284,259.0,282,2011-10-15 05:42:34.430,13,3.0
283,299.0,<hep-th>,2011-10-15 01:21:37.783,448.0,7,407,3.0,4.0,448,553.0,283,2011-11-03 04:02:23.923,7,
288,374.0,<quantum-field-theory><math-ph><gauge-theory>,2011-10-15 15:21:11.003,289.0,9,506,1.0,2.0,289,399.0,288,2011-10-15 17:00:58.283,12,2.0
291,150.0,<math-ph><string-theory>,2011-10-15 19:20:21.223,301.0,8,267,3.0,2.0,301,216.0,291,2011-10-16 07:48:54.233,8,
294,457.0,<quantum-mechanics><quantum-computing>,2011-10-15 20:39:26.637,300.0,9,319,4.0,0.0,300,249.0,294,2011-10-16 06:43:33.937,6,7.0
299,43.0,<hep-th><supersymmetry>,2011-10-16 02:12:20.357,302.0,12,325,1.0,,302,216.0,299,2011-10-16 08:06:01.163,7,3.0
306,262.0,<math-ph><string-theory><supersymmetry>,2011-10-16 18:53:02.023,307.0,4,139,1.0,,307,259.0,306,2011-10-17 04:56:47.197,3,4.0
316,150.0,<quantum-field-theory><math-ph><rigorous-qft><lattice-qft>,2011-10-17 21:20:24.190,318.0,5,216,2.0,,318,453.0,316,2011-10-17 22:15:21.690,8,3.0
327,302.0,<math-ph><string-theory><supersymmetry>,2011-10-18 06:25:51.720,328.0,9,371,2.0,5.0,328,109.0,327,2011-10-18 08:01:39.957,7,
344,330.0,<classical-field-theory><gauge-symmetry>,2011-10-20 04:40:10.820,345.0,8,265,1.0,4.0,345,216.0,344,2011-10-20 10:35:00.343,2,2.0
347,358.0,<quantum-field-theory><hep-th>,2011-10-20 14:36:42.570,348.0,5,325,1.0,,348,28.0,347,2011-10-20 15:50:29.967,14,5.0
353,150.0,<string-theory><string-field-theory>,2011-10-21 00:06:05.180,354.0,8,211,1.0,,354,109.0,353,2011-10-21 01:35:09.367,8,3.0
355,70.0,<quantum-field-theory><hep-th><supersymmetry>,2011-10-21 10:57:38.750,408.0,15,431,2.0,,408,531.0,355,2011-10-28 01:51:34.480,11,6.0
363,298.0,<quantum-field-theory><cond-math.stat-mech>,2011-10-23 16:38:15.580,371.0,12,234,1.0,3.0,371,274.0,363,2011-10-24 13:12:17.403,7,5.0
365,504.0,<quantum-mechanics><optics>,2011-10-23 19:56:44.620,375.0,3,195,1.0,10.0,375,121.0,365,2011-10-24 17:59:10.847,5,
367,168.0,<quantum-field-theory><yang-mills-theory>,2011-10-23 22:26:47.377,368.0,6,254,1.0,1.0,368,70.0,367,2011-10-24 00:25:56.237,7,1.0
370,505.0,<quantum-mechanics><quantum-information><quantum-computing>,2011-10-24 12:49:49.657,386.0,32,1118,3.0,10.0,386,510.0,370,2011-10-25 17:47:58.497,22,17.0
378,49.0,<entanglement><quantum-information><quantum-discord>,2011-10-24 23:28:33.980,406.0,12,292,2.0,,406,229.0,378,2011-10-27 18:30:02.393,8,4.0
379,453.0,<reference-request><quantum-gravity>,2011-10-25 00:39:53.033,387.0,9,738,5.0,7.0,387,,379,2011-10-26 00:34:59.910,7,7.0
391,521.0,<quantum-information>,2011-10-26 18:19:43.320,393.0,10,131,1.0,,393,169.0,391,2011-10-26 19:01:19.043,10,
392,8.0,<math-ph><reference-request><conformal-field-theory>,2011-10-26 18:38:55.007,409.0,6,201,1.0,,409,8.0,392,2011-10-28 17:28:16.287,1,
394,150.0,<supersymmetry><gauge-theory><yang-mills-theory>,2011-10-26 19:55:52.797,440.0,5,389,2.0,,440,531.0,394,2011-11-02 19:09:10.543,8,8.0
395,150.0,<supersymmetry><yang-mills-theory><duality><lattice-qft><lattice-gauge-theory>,2011-10-26 19:59:12.403,399.0,6,361,1.0,2.0,399,211.0,395,2011-10-27 00:31:42.353,11,10.0
397,150.0,<string-theory><cosmology><string-cosmology><string-landscape>,2011-10-26 20:19:32.657,400.0,4,154,1.0,3.0,400,43.0,397,2011-10-27 01:51:09.660,10,2.0
410,96.0,<math-ph><cond-mat><quasicrystals>,2011-10-29 11:38:41.307,939.0,10,226,2.0,2.0,939,96.0,410,2012-02-17 04:36:43.597,5,
414,134.0,<quantum-mechanics><quantum-information>,2011-10-29 19:17:54.020,421.0,12,251,1.0,2.0,421,64.0,414,2011-10-30 19:48:01.003,10,
420,542.0,<gauge-theory><topology>,2011-10-30 15:51:59.393,422.0,10,264,1.0,0.0,422,399.0,420,2011-10-30 21:16:00.703,9,2.0
426,26.0,<quant-ph><quantum-information>,2011-11-01 16:04:11.700,431.0,16,180,1.0,,431,64.0,426,2011-11-01 23:07:57.123,10,1.0
437,93.0,<quant-ph><quantum-computing><reference-request><fault-tolerance>,2011-11-02 06:12:30.420,439.0,22,239,2.0,10.0,439,527.0,437,2011-11-02 18:33:32.357,12,1.0
444,43.0,<hep-th><gr-qc><twistors>,2011-11-02 22:03:22.173,446.0,15,247,3.0,,446,28.0,444,2011-11-03 00:34:44.820,8,2.0
462,563.0,<quantum-field-theory><renormalization>,2011-11-04 17:38:41.847,479.0,5,271,1.0,3.0,479,531.0,462,2011-11-07 03:32:16.897,7,2.0
465,150.0,<string-theory><black-hole>,2011-11-05 10:30:01.170,470.0,7,209,1.0,,470,216.0,465,2011-11-05 15:33:31.650,7,3.0
467,150.0,<string-theory><conformal-field-theory><adscft>,2011-11-05 11:07:56.193,471.0,10,450,2.0,,471,562.0,467,2011-11-05 16:00:13.413,15,4.0
477,246.0,<quantum-information><quantum-control>,2011-11-06 21:36:54.127,478.0,14,297,2.0,2.0,478,446.0,477,2011-11-06 22:13:09.167,16,5.0
481,49.0,<quantum-computing>,2011-11-07 21:36:59.823,493.0,13,232,2.0,,493,93.0,481,2011-11-09 06:47:24.410,3,
485,274.0,<quantum-mechanics>,2011-11-08 15:13:15.380,490.0,12,447,2.0,3.0,490,399.0,485,2011-11-08 19:50:06.013,5,1.0
486,460.0,<quant-ph><quantum-information><nonlocality>,2011-11-08 15:53:41.473,488.0,6,131,1.0,,488,49.0,486,2011-11-08 17:45:26.720,8,2.0
497,572.0,<string-theory><compactification>,2011-11-09 23:42:38.583,498.0,4,164,1.0,1.0,498,216.0,497,2011-11-10 08:59:06.117,5,1.0
499,262.0,<quantum-field-theory><math-ph><string-theory>,2011-11-11 01:34:02.000,500.0,5,278,1.0,,500,211.0,499,2011-11-11 02:26:57.193,6,6.0
501,168.0,<quantum-field-theory>,2011-11-11 03:56:32.057,516.0,6,362,1.0,,516,578.0,501,2011-11-14 09:12:57.960,3,7.0
505,569.0,<quant-ph><quantum-information>,2011-11-11 12:37:29.393,530.0,8,532,4.0,2.0,530,604.0,505,2011-11-16 09:46:39.793,5,2.0
519,493.0,<quant-ph><quantum-information><quantum-estimation>,2011-11-14 12:44:55.243,521.0,9,196,1.0,,521,93.0,519,2011-11-14 15:23:30.220,7,8.0
526,229.0,<quantum-field-theory><quantum-information><optics><wigner-function><norms>,2011-11-15 15:56:16.930,527.0,7,188,3.0,2.0,527,121.0,526,2011-11-15 17:51:45.123,6,5.0
538,229.0,<quantum-information><nonlocality><entanglement>,2011-11-18 15:19:15.527,552.0,11,174,1.0,3.0,552,121.0,538,2011-11-21 16:51:27.493,5,
540,,<particle-physics><hep-ph>,2011-11-19 01:02:41.857,586.0,6,211,1.0,3.0,586,578.0,540,2011-11-25 19:45:25.213,3,
542,141.0,<compactification><poincare-group>,2011-11-19 17:23:09.357,544.0,2,159,1.0,3.0,544,399.0,542,2011-11-19 19:35:22.023,6,
543,150.0,<math-ph><quantum-mechanics>,2011-11-19 18:59:10.787,545.0,8,323,3.0,2.0,545,399.0,543,2011-11-19 21:17:00.273,5,
551,246.0,<quantum-mechanics><spin-model><molecular-dynamics>,2011-11-21 16:31:33.660,553.0,7,219,1.0,1.0,553,274.0,551,2011-11-21 17:20:52.440,8,3.0
559,460.0,<reference-request><quantum>,2011-11-22 19:46:39.807,561.0,3,149,1.0,2.0,561,590.0,559,2011-11-23 06:32:09.610,6,4.0
564,381.0,<math-ph><particle-physics>,2011-11-23 22:36:20.173,568.0,4,272,2.0,2.0,568,274.0,564,2011-11-24 08:22:14.907,7,
588,567.0,<supersymmetry>,2011-11-26 00:02:22.860,589.0,3,202,1.0,7.0,589,650.0,588,2011-11-26 04:28:18.860,4,5.0
594,150.0,<quantum-field-theory><scattering><classical-limit>,2011-11-26 20:10:04.390,597.0,10,658,4.0,7.0,597,617.0,594,2011-11-27 00:21:11.380,10,1.0
595,150.0,<general-relativity><black-hole><einstein-maxwell>,2011-11-26 20:17:49.743,638.0,6,261,2.0,4.0,638,352.0,595,2011-12-05 15:15:37.300,4,
605,510.0,<quantum-mechanics><quant-ph><quantum-optics>,2011-11-30 07:39:42.070,607.0,15,457,2.0,,607,578.0,605,2011-11-30 12:01:49.853,8,13.0
608,358.0,<hep-th><supergravity>,2011-11-30 22:04:25.683,610.0,7,148,1.0,,610,661.0,608,2011-12-01 09:46:51.507,5,1.0
618,665.0,<quantum-mechanics><entanglement><history-overview>,2011-12-02 07:30:11.373,719.0,2,124,1.0,4.0,719,172.0,618,2011-12-21 19:47:18.803,5,
622,150.0,<quantum-field-theory><conformal-field-theory>,2011-12-02 18:12:06.403,629.0,7,202,1.0,4.0,629,205.0,622,2011-12-03 20:28:30.073,8,1.0
625,43.0,<reference-request><differential-equations>,2011-12-03 03:04:00.123,631.0,12,157,2.0,3.0,631,123.0,625,2011-12-03 22:19:07.500,4,1.0
643,285.0,<quantum-field-theory><quantum>,2011-12-06 11:22:52.677,665.0,4,308,1.0,3.0,665,399.0,643,2011-12-10 01:10:49.650,4,
644,682.0,<quantum-mechanics>,2011-12-06 14:26:36.633,645.0,3,196,2.0,2.0,645,93.0,644,2011-12-06 14:40:49.150,6,3.0
649,687.0,<kaluza-klein>,2011-12-07 14:04:03.147,654.0,9,449,5.0,0.0,654,,649,2011-12-07 20:52:00.350,5,5.0
662,150.0,<string-theory><quantization>,2011-12-09 20:57:08.510,663.0,8,226,2.0,1.0,663,216.0,662,2011-12-09 21:22:12.880,7,14.0
668,87.0,<higgs><standard-model>,2011-12-10 16:40:55.797,826.0,11,485,1.0,9.0,826,381.0,668,2012-01-16 18:48:05.803,3,
672,21.0,<string-theory>,2011-12-11 19:32:26.123,673.0,8,210,1.0,1.0,673,43.0,672,2011-12-11 19:48:10.990,10,2.0
674,150.0,<string-theory><branes>,2011-12-11 21:43:10.793,676.0,4,133,1.0,1.0,676,216.0,674,2011-12-12 07:50:01.760,4,
675,150.0,<string-theory><string-landscape>,2011-12-11 21:55:24.110,677.0,4,159,1.0,,677,216.0,675,2011-12-12 08:23:33.130,3,3.0
678,211.0,<higgs><mssm>,2011-12-12 17:49:51.130,684.0,6,229,1.0,1.0,684,531.0,678,2011-12-13 23:53:16.657,5,6.0
679,143.0,<quantum-field-theory>,2011-12-12 21:58:02.977,680.0,14,209,1.0,1.0,680,211.0,679,2011-12-12 23:37:58.763,6,1.0
697,150.0,<string-theory><conformal-field-theory><adscft>,2011-12-15 13:56:43.047,698.0,7,263,1.0,,698,216.0,697,2011-12-15 14:20:34.207,7,
701,711.0,<quantum-information><quantum-error-correction>,2011-12-16 16:15:20.817,714.0,8,231,3.0,,714,169.0,701,2011-12-19 03:29:54.397,7,
710,21.0,<quantum-field-theory>,2011-12-18 08:38:39.710,711.0,3,272,2.0,2.0,711,578.0,710,2011-12-18 09:52:29.793,6,2.0
715,168.0,<quantum-field-theory><gauge-theory><yang-mills-theory><gauge-symmetry>,2011-12-20 21:35:19.110,716.0,8,218,1.0,,716,12.0,715,2011-12-20 22:20:52.303,7,12.0
720,475.0,<supersymmetry><mssm>,2011-12-21 23:28:26.943,722.0,4,188,1.0,,722,216.0,720,2011-12-22 06:59:27.903,4,4.0
742,737.0,<gauge-theory><black-hole><gr-singularity>,2011-12-26 23:32:47.133,745.0,5,147,1.0,2.0,745,617.0,742,2011-12-27 18:51:08.713,2,1.0
747,168.0,<quantum-field-theory><reference-request><gauge-theory><soft-question><yang-mills-theory>,2011-12-28 00:05:33.643,748.0,5,260,2.0,,748,259.0,747,2011-12-28 13:23:32.400,7,2.0
755,737.0,<reference-request><soft-question><topological-qft>,2011-12-29 18:28:43.457,763.0,8,403,4.0,3.0,763,399.0,755,2011-12-30 19:57:28.753,8,1.0
758,707.0,<symmetry><analytical-mechanics>,2011-12-30 05:14:09.797,762.0,7,166,2.0,,762,399.0,758,2011-12-30 18:32:13.370,3,1.0
768,753.0,<general-relativity>,2012-01-01 19:08:57.480,769.0,9,218,1.0,,769,216.0,768,2012-01-01 20:36:05.417,9,4.0
771,753.0,<general-relativity>,2012-01-01 22:50:40.463,773.0,2,110,1.0,,773,216.0,771,2012-01-02 09:05:02.597,2,3.0
803,229.0,<quantum-information><quantum-computing><group-theory><stabilizer>,2012-01-12 11:33:57.217,827.0,15,528,4.0,2.0,827,93.0,803,2012-01-17 09:00:46.463,6,5.0
822,168.0,<quantum-field-theory><string-theory><supersymmetry><reference-request><phase-transition>,2012-01-16 00:54:56.347,824.0,5,120,1.0,,824,118.0,822,2012-01-16 09:17:57.797,2,5.0
830,298.0,<quantum-field-theory><classical-electrodynamics>,2012-01-17 17:22:07.930,832.0,7,218,1.0,1.0,832,216.0,830,2012-01-18 07:14:10.573,4,1.0
849,521.0,<soft-question><general-relativity>,2012-01-21 19:14:44.540,850.0,4,167,1.0,1.0,850,617.0,849,2012-01-21 20:41:01.563,3,7.0
853,89.0,<quantum-field-theory><group-theory>,2012-01-22 23:06:17.583,858.0,3,206,1.0,4.0,858,216.0,853,2012-01-23 06:23:22.537,1,
854,168.0,<quantum-field-theory><yang-mills-theory>,2012-01-23 01:05:03.710,868.0,4,321,2.0,,868,399.0,854,2012-01-26 02:07:26.410,4,8.0
862,450.0,<spin-model><entanglement>,2012-01-25 14:01:17.813,872.0,2,118,2.0,5.0,872,93.0,862,2012-01-26 07:48:26.950,3,5.0
863,493.0,<quantum-mechanics><quant-ph><simulation>,2012-01-25 17:25:37.770,864.0,8,126,1.0,2.0,864,134.0,863,2012-01-25 17:29:58.977,8,1.0
870,811.0,<quantum-field-theory><standard-model>,2012-01-26 06:05:08.310,873.0,12,208,1.0,1.0,873,274.0,870,2012-01-26 09:52:13.993,7,5.0
877,711.0,<statistical-mechanics><spin-model>,2012-01-26 22:53:47.183,878.0,3,112,1.0,,878,104.0,877,2012-01-27 01:01:01.850,2,1.0
885,730.0,<quantum-field-theory><yang-mills-theory>,2012-01-31 03:44:13.963,887.0,7,151,1.0,2.0,887,578.0,885,2012-02-01 17:39:09.223,3,
889,521.0,<reference-request><astrophysics><neutron-stars><introduction>,2012-02-02 18:58:47.087,891.0,5,107,1.0,4.0,891,334.0,889,2012-02-03 04:34:08.270,3,
902,766.0,<quantum-mechanics><quantum-optics>,2012-02-07 06:01:47.990,903.0,8,199,2.0,,903,150.0,902,2012-02-07 08:34:00.027,5,4.0
906,493.0,<quant-ph><quantum-information><quantum-computing><quantum-optics>,2012-02-09 15:17:55.613,909.0,15,216,2.0,6.0,909,134.0,906,2012-02-09 17:39:42.313,7,2.0
918,727.0,<quantum-mechanics><reference-request><quantum-measurement><hilbert-space>,2012-02-13 22:37:12.717,925.0,7,297,2.0,,925,150.0,918,2012-02-14 19:03:44.767,9,1.0
922,450.0,<quantum-information><entanglement>,2012-02-14 16:15:16.303,923.0,4,72,1.0,,923,208.0,922,2012-02-14 16:30:30.457,3,3.0
944,121.0,<quantum-mechanics><quant-ph>,2012-02-17 23:25:31.107,945.0,6,240,3.0,7.0,945,93.0,944,2012-02-18 06:22:08.907,5,2.0
954,885.0,<quantum-information><quantum-computing>,2012-02-21 00:01:01.997,955.0,5,88,1.0,,955,169.0,954,2012-02-21 12:26:21.217,3,1.0
959,664.0,<quant-ph><quantum-information>,2012-02-22 15:08:32.277,964.0,4,106,3.0,1.0,964,37.0,959,2012-02-23 12:02:07.137,2,7.0
960,711.0,<quantum-information><quantum-computing><quantum-optics>,2012-02-22 17:16:56.520,962.0,7,196,2.0,,962,37.0,960,2012-02-23 10:29:51.543,6,
961,730.0,<quantum-field-theory><quantum-chromodynamics>,2012-02-23 01:31:56.927,966.0,5,219,2.0,4.0,966,274.0,961,2012-02-23 16:30:35.567,3,3.0
975,682.0,<quantum-mechanics><symmetry>,2012-02-26 12:24:47.803,976.0,6,138,1.0,7.0,976,189.0,975,2012-02-26 15:52:14.263,5,2.0
990,730.0,<quantum-field-theory><string-theory><supersymmetry>,2012-02-29 19:59:46.323,1012.0,4,223,1.0,3.0,1012,12.0,990,2012-03-08 15:22:19.423,5,2.0
997,617.0,<reference-request><general-relativity><special-relativity>,2012-03-04 00:59:26.193,1006.0,5,257,3.0,2.0,1006,47.0,997,2012-03-06 16:04:58.297,3,2.0
1005,97.0,<quantum-mechanics><math-ph>,2012-03-06 15:15:51.730,1011.0,3,188,1.0,2.0,1011,97.0,1005,2012-03-08 13:40:59.507,3,
1016,285.0,<general-relativity><special-relativity>,2012-03-10 03:27:43.177,1017.0,1,124,1.0,,1017,927.0,1016,2012-03-10 05:47:33.133,4,
