QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
46,87,<higgs><standard-model>,2011-09-17 15:04:26.677,47,5,296,2,9
49,97,<quantum-field-theory><cond-mat><renormalization-group>,2011-09-17 19:15:07.933,,20,441,1,3
51,121,<classical-electrodynamics><uncertainty-principle><optics>,2011-09-18 09:59:20.807,,15,277,0,4
52,57,<statistical-mechanics><cond-math.stat-mech>,2011-09-18 15:42:32.413,,9,180,0,9
54,43,<quantum-field-theory><gravity><hep-th><gr-qc>,2011-09-18 18:03:29.453,56,13,215,1,15
57,123,<math-ph><differential-equations>,2011-09-19 06:05:25.950,,13,645,5,7
61,105,<math-ph><statistical-mechanics><spin-model>,2011-09-19 15:19:02.860,,21,495,1,10
62,,<higgs><standard-model>,2011-09-19 16:04:13.673,,9,279,1,3
63,172,<quantum-mechanics><nonlocality><contextuality>,2011-09-19 17:15:50.320,435,14,358,4,
65,11,<quantum-mechanics><nonlocality>,2011-09-19 22:17:54.513,144,19,321,2,1
67,6,<career-advice><soft-question>,2011-09-20 12:57:57.830,70,12,438,2,15
68,121,<quantum-mechanics><spin-model>,2011-09-20 13:21:08.197,72,11,191,3,1
75,132,<computer-science><soft-question>,2011-09-20 14:20:27.693,79,12,798,5,6
78,200,<conformal-field-theory><adscft>,2011-09-20 15:08:30.273,,13,206,1,4
80,113,<math-ph><statistical-mechanics><conformal-field-theory><probability>,2011-09-20 20:08:10.107,,20,372,5,1
82,43,<quantum-field-theory><hep-th>,2011-09-20 20:37:39.943,91,12,160,2,4
87,118,<math-ph><intuition>,2011-09-21 20:47:02.200,,10,136,,5
89,42,<book-recommendation>,2011-09-22 11:34:44.337,90,9,283,1,4
93,93,<hep-th>,2011-09-23 05:52:30.097,98,28,1467,5,8
94,114,<quantum-field-theory><math-ph>,2011-09-23 07:37:03.140,,13,310,3,2
97,6,<math-ph><quant-ph><chemical-physics>,2011-09-23 17:41:36.267,,8,104,,
102,43,<hep-th><supersymmetry><duality>,2011-09-24 02:42:06.797,103,9,145,1,
105,12,<gravity><reference-request>,2011-09-24 05:43:45.123,457,11,322,1,1
107,113,<math-ph><history-overview>,2011-09-24 17:46:05.783,,22,1005,3,11
114,43,<quant-ph><gr-qc>,2011-09-25 21:08:13.100,117,13,318,3,4
118,113,<math-ph><statistical-mechanics>,2011-09-26 19:09:51.167,,12,509,1,
120,114,<math-ph><quantum-field-theory>,2011-09-27 09:46:58.050,,10,141,2,
123,93,<quant-ph><quantum-computing>,2011-09-29 06:27:03.573,,25,572,3,
125,121,<quant-ph><uncertainty-principle><entropy><wigner-function>,2011-09-29 13:38:54.957,,17,288,2,9
126,105,<statistical-mechanics><simulation>,2011-09-30 10:34:07.010,,13,131,2,9
127,121,<quant-ph><permutation-symmetric><majorana-representation><group-theory>,2011-09-30 12:49:17.147,165,19,280,5,
131,,<supersymmetry><soft-question>,2011-10-01 13:55:57.020,,6,155,1,1
133,,<kaluza-klein><compactification>,2011-10-01 17:53:41.637,136,6,211,1,
134,66,<gravity><gr-qc><topology>,2011-10-01 18:44:45.410,146,10,159,1,2
135,,<quantum-mechanics><non-commutative-geometry>,2011-10-01 19:00:46.890,,6,90,,
137,194,<quant-ph><quantum-computing>,2011-10-01 20:44:12.910,141,10,150,1,
138,168,<quantum-field-theory><classical-field-theory><special-relativity>,2011-10-02 01:50:20.173,159,9,350,2,2
143,229,<quantum-mechanics><nonlocality><norms><entanglement>,2011-10-03 09:16:14.853,145,8,224,1,
149,223,<quantum-field-theory><statistical-mechanics><gauge-theory>,2011-10-04 20:18:47.950,,11,161,,
151,21,<quantum-field-theory><special-relativity>,2011-10-04 22:00:27.313,,9,224,,1
153,224,<statistical-mechanics><spin-model><phase-transition>,2011-10-04 22:02:40.290,170,13,337,1,1
155,78,<quant-ph><quantum-mechanics><quantum-computing><group-theory>,2011-10-05 02:32:00.747,,14,229,2,
161,97,<statistical-mechanics><reference-request><cond-math.stat-mech>,2011-10-05 13:12:15.457,423,7,197,1,0
162,259,<hep-th><string-theory>,2011-10-05 13:34:13.877,164,11,498,2,2
166,301,<soft-question>,2011-10-05 15:30:52.650,,7,497,5,
167,301,<soft-question>,2011-10-05 15:36:15.077,,5,228,,1
168,304,<string-theory>,2011-10-05 16:00:32.020,219,4,222,1,6
175,324,<quantum-field-theory>,2011-10-06 03:22:13.210,,13,572,5,3
176,330,<gr-qc><cosmology>,2011-10-06 04:19:05.577,178,2,151,1,3
177,224,<probability>,2011-10-06 04:35:18.800,239,12,466,2,5
181,298,<quantum-field-theory>,2011-10-06 09:48:06.830,184,11,271,2,
183,337,<quantum-mechanics>,2011-10-06 10:25:43.870,,8,287,1,7
192,358,<hep-th>,2011-10-07 02:53:29.100,193,12,298,1,3
194,363,<math-ph><hep-th><string-theory>,2011-10-07 04:34:00.420,,5,180,1,
195,363,<hep-th><string-theory>,2011-10-07 04:44:23.543,,5,124,,1
197,259,<hep-th><symmetry>,2011-10-07 16:56:01.720,201,17,542,1,3
198,105,<statistical-mechanics><spin-model>,2011-10-07 17:23:51.807,,9,102,,2
203,395,<hep-th>,2011-10-08 13:14:29.233,204,9,367,1,1
205,372,<statistical-mechanics>,2011-10-08 17:57:59.370,,17,543,4,8
206,262,<quantum-field-theory><hep-th><string-theory><supersymmetry>,2011-10-08 19:39:15.383,,14,467,2,2
207,141,<gravity>,2011-10-08 19:49:56.397,,18,232,2,1
208,78,<quant-ph><quantum-mechanics><quantum-computing>,2011-10-08 19:56:19.440,,11,162,1,
216,274,<quant-ph><group-theory><entanglement>,2011-10-09 10:25:55.423,,11,182,,2
217,416,<quantum-field-theory><string-theory>,2011-10-09 10:46:32.830,220,5,213,1,
218,198,<quantum-field-theory><reference-request>,2011-10-09 13:03:38.567,,11,322,2,2
222,425,<quantum-field-theory><math-ph><reference-request>,2011-10-09 18:37:04.007,,26,2741,18,2
234,399,<math-ph><string-theory>,2011-10-10 18:54:16.437,235,13,440,1,5
237,445,<quantum-field-theory><quantum-mechanics>,2011-10-11 02:41:50.627,,11,753,5,0
245,121,<math-ph><quant-ph><probability><wigner-function>,2011-10-11 13:31:50.643,,18,937,5,4
254,259,<quantum-field-theory><supersymmetry>,2011-10-12 03:46:58.643,,14,456,3,
256,372,<general-relativity><hamiltonian-mechanics>,2011-10-12 11:10:32.823,257,9,323,1,1
261,168,<quantum-field-theory><yang-mills-theory>,2011-10-12 20:20:27.757,262,8,304,2,
263,318,<quantum-field-theory><hep-th>,2011-10-12 23:34:51.160,356,14,694,3,2
267,318,<hep-th><supersymmetry><gauge-theory>,2011-10-13 03:59:45.233,,11,386,2,
278,457,<conformal-field-theory>,2011-10-14 08:27:58.023,280,2,332,3,3
282,406,<hep-th><string-theory><gauge-theory><adscft>,2011-10-14 21:18:23.807,284,12,308,1,
283,299,<hep-th>,2011-10-15 01:21:37.783,448,7,407,3,4
288,374,<quantum-field-theory><math-ph><gauge-theory>,2011-10-15 15:21:11.003,289,9,506,1,2
290,168,<quantum-field-theory><classical-field-theory>,2011-10-15 18:43:42.427,,-3,356,3,15
291,150,<math-ph><string-theory>,2011-10-15 19:20:21.223,301,8,267,3,2
294,457,<quantum-mechanics><quantum-computing>,2011-10-15 20:39:26.637,300,9,319,4,0
299,43,<hep-th><supersymmetry>,2011-10-16 02:12:20.357,302,12,325,1,
303,474,<statistical-mechanics><quantum-mechanics><classical-electrodynamics><hamiltonian-mechanics>,2011-10-16 12:48:28.440,,2,137,1,5
306,262,<math-ph><string-theory><supersymmetry>,2011-10-16 18:53:02.023,307,4,139,1,
308,150,<quantum-field-theory><math-ph><rigorous-qft>,2011-10-17 06:50:31.617,,13,518,5,6
309,416,<supersymmetry><standard-model>,2011-10-17 07:49:25.740,,7,187,1,2
314,481,<quantum-field-theory>,2011-10-17 21:13:27.133,,1,63,,1
316,150,<quantum-field-theory><math-ph><rigorous-qft><lattice-qft>,2011-10-17 21:20:24.190,318,5,216,2,
317,150,<gauge-theory><classical-field-theory><yang-mills-theory>,2011-10-17 21:26:52.930,,12,538,3,17
319,334,<quantum-field-theory><statistical-mechanics>,2011-10-18 02:10:58.723,,13,359,2,
321,321,<soft-question>,2011-10-18 03:33:38.870,,6,879,5,21
327,302,<math-ph><string-theory><supersymmetry>,2011-10-18 06:25:51.720,328,9,371,2,5
329,28,<hep-th><supergravity>,2011-10-18 11:01:54.993,,15,185,1,3
332,485,<renormalization>,2011-10-18 19:24:09.987,,0,169,,1
334,487,<string-theory><soft-question><adscft><physics.ed-ph><career-advice>,2011-10-19 00:36:15.937,,1,247,,6
344,330,<classical-field-theory><gauge-symmetry>,2011-10-20 04:40:10.820,345,8,265,1,4
346,109,<string-theory>,2011-10-20 12:33:13.370,,6,173,,2
347,358,<quantum-field-theory><hep-th>,2011-10-20 14:36:42.570,348,5,325,1,
353,150,<string-theory><string-field-theory>,2011-10-21 00:06:05.180,354,8,211,1,
355,70,<quantum-field-theory><hep-th><supersymmetry>,2011-10-21 10:57:38.750,408,15,431,2,
359,358,<soft-question>,2011-10-22 22:26:58.740,,15,793,5,4
362,366,<chemical-physics>,2011-10-23 14:41:05.713,,2,59,,1
363,298,<quantum-field-theory><cond-math.stat-mech>,2011-10-23 16:38:15.580,371,12,234,1,3
365,504,<quantum-mechanics><optics>,2011-10-23 19:56:44.620,375,3,195,1,10
367,168,<quantum-field-theory><yang-mills-theory>,2011-10-23 22:26:47.377,368,6,254,1,1
370,505,<quantum-mechanics><quantum-information><quantum-computing>,2011-10-24 12:49:49.657,386,32,1118,3,10
378,49,<entanglement><quantum-information><quantum-discord>,2011-10-24 23:28:33.980,406,12,292,2,
379,453,<reference-request><quantum-gravity>,2011-10-25 00:39:53.033,387,9,738,5,7
383,259,<hep-th>,2011-10-25 16:54:24.127,,13,195,1,
390,11,<quantum-mechanics><quantum-information><quantum>,2011-10-26 17:21:40.843,,12,253,2,5
391,521,<quantum-information>,2011-10-26 18:19:43.320,393,10,131,1,
392,8,<math-ph><reference-request><conformal-field-theory>,2011-10-26 18:38:55.007,409,6,201,1,
394,150,<supersymmetry><gauge-theory><yang-mills-theory>,2011-10-26 19:55:52.797,440,5,389,2,
395,150,<supersymmetry><yang-mills-theory><duality><lattice-qft><lattice-gauge-theory>,2011-10-26 19:59:12.403,399,6,361,1,2
396,150,<string-theory><general-relativity><gr-singularity>,2011-10-26 20:05:04.300,,3,119,,7
397,150,<string-theory><cosmology><string-cosmology><string-landscape>,2011-10-26 20:19:32.657,400,4,154,1,3
410,96,<math-ph><cond-mat><quasicrystals>,2011-10-29 11:38:41.307,939,10,226,2,2
411,536,<string-theory>,2011-10-29 12:31:15.293,,-3,190,1,3
414,134,<quantum-mechanics><quantum-information>,2011-10-29 19:17:54.020,421,12,251,1,2
417,493,<quantum-mechanics><quantum-information>,2011-10-30 01:41:22.527,,14,229,1,4
418,121,<quantum-mechanics><permutation-symmetric><majorana-representation>,2011-10-30 11:27:13.697,,10,233,1,
420,542,<gauge-theory><topology>,2011-10-30 15:51:59.393,422,10,264,1,0
424,493,<quantum-information><quantum-control><nmr><quantum-measurement>,2011-10-31 23:05:18.477,,10,260,2,12
426,26,<quant-ph><quantum-information>,2011-11-01 16:04:11.700,431,16,180,1,
427,43,<quantum-field-theory><renormalization><holography>,2011-11-01 16:25:08.750,,11,183,1,
429,21,<quantum-field-theory><string-theory><renormalization>,2011-11-01 21:42:32.627,,10,369,2,
437,93,<quant-ph><quantum-computing><reference-request><fault-tolerance>,2011-11-02 06:12:30.420,439,22,239,2,10
443,172,<quant-ph><contextuality>,2011-11-02 21:13:38.727,,6,200,3,
444,43,<hep-th><gr-qc><twistors>,2011-11-02 22:03:22.173,446,15,247,3,
453,,<gauge-theory>,2011-11-03 14:42:54.853,,3,175,1,6
454,557,<string-theory>,2011-11-03 16:22:53.933,,4,110,1,0
458,561,<string-theory>,2011-11-04 10:09:58.283,,4,186,2,
459,560,<conformal-field-theory>,2011-11-04 10:31:30.290,,8,466,1,
462,563,<quantum-field-theory><renormalization>,2011-11-04 17:38:41.847,479,5,271,1,3
463,399,<math-ph><string-theory><reference-request>,2011-11-04 22:54:25.003,,7,162,,
464,150,<quantum-field-theory><supersymmetry><renormalization>,2011-11-05 10:25:08.447,,7,132,1,
465,150,<string-theory><black-hole>,2011-11-05 10:30:01.170,470,7,209,1,
466,150,<quantum-field-theory><supersymmetry>,2011-11-05 11:05:15.573,,5,181,1,4
467,150,<string-theory><conformal-field-theory><adscft>,2011-11-05 11:07:56.193,471,10,450,2,
476,571,<renormalization-group>,2011-11-06 19:13:34.707,,5,336,2,14
477,246,<quantum-information><quantum-control>,2011-11-06 21:36:54.127,478,14,297,2,2
481,49,<quantum-computing>,2011-11-07 21:36:59.823,493,13,232,2,
484,579,<quantum-field-theory><gauge-theory>,2011-11-08 11:52:21.223,,2,435,1,5
485,274,<quantum-mechanics>,2011-11-08 15:13:15.380,490,12,447,2,3
486,460,<quant-ph><quantum-information><nonlocality>,2011-11-08 15:53:41.473,488,6,131,1,
495,578,<quantum-mechanics><quant-ph><reference-request>,2011-11-09 20:33:02.060,,5,269,1,3
497,572,<string-theory><compactification>,2011-11-09 23:42:38.583,498,4,164,1,1
499,262,<quantum-field-theory><math-ph><string-theory>,2011-11-11 01:34:02.000,500,5,278,1,
501,168,<quantum-field-theory>,2011-11-11 03:56:32.057,516,6,362,1,
502,121,<soft-question><publishing>,2011-11-11 10:54:23.330,,6,243,2,3
505,569,<quant-ph><quantum-information>,2011-11-11 12:37:29.393,530,8,532,4,2
508,150,<quantum-field-theory><quantum-chromodynamics><thermal-qft>,2011-11-12 11:22:55.690,,4,178,1,2
509,150,<quantum-field-theory><rigorous-qft>,2011-11-12 11:31:02.653,,7,194,,3
510,150,<quantum-mechanics><gravity><quantum-gravity>,2011-11-12 12:00:51.023,,4,264,1,4
514,,<particle-physics><hep-ph>,2011-11-13 13:27:35.997,,5,134,,3
515,594,<quantum-mechanics><quantum>,2011-11-14 09:04:39.583,,1,298,3,9
519,493,<quant-ph><quantum-information><quantum-estimation>,2011-11-14 12:44:55.243,521,9,196,1,
522,600,<math-ph><general-relativity>,2011-11-15 13:17:21.970,,2,364,3,4
526,229,<quantum-field-theory><quantum-information><optics><wigner-function><norms>,2011-11-15 15:56:16.930,527,7,188,3,2
531,94,<quantum-field-theory><soft-question><citation>,2011-11-16 12:34:26.460,,12,429,2,3
532,608,<adscft>,2011-11-16 15:51:44.850,,5,213,,2
535,493,<quantum-mechanics><quant-ph><quantum-foundations><experimental-tests>,2011-11-17 22:18:48.437,,13,450,,3
536,168,<quantum-field-theory><string-theory><supersymmetry>,2011-11-18 01:06:35.010,,7,348,1,15
538,229,<quantum-information><nonlocality><entanglement>,2011-11-18 15:19:15.527,552,11,174,1,3
539,358,<hep-th><adscft>,2011-11-18 19:06:23.043,,5,290,1,1
540,,<particle-physics><hep-ph>,2011-11-19 01:02:41.857,586,6,211,1,3
541,168,<quantum-field-theory>,2011-11-19 03:00:15.713,,6,254,1,6
542,141,<compactification><poincare-group>,2011-11-19 17:23:09.357,544,2,159,1,3
543,150,<math-ph><quantum-mechanics>,2011-11-19 18:59:10.787,545,8,323,3,2
550,457,<conformal-field-theory>,2011-11-21 11:09:25.167,,9,144,2,2
551,246,<quantum-mechanics><spin-model><molecular-dynamics>,2011-11-21 16:31:33.660,553,7,219,1,1
557,121,<quantum-mechanics>,2011-11-22 14:57:52.450,,9,236,3,16
559,460,<reference-request><quantum>,2011-11-22 19:46:39.807,561,3,149,1,2
564,381,<math-ph><particle-physics>,2011-11-23 22:36:20.173,568,4,272,2,2
566,,<particle-physics><hep-ph><mass>,2011-11-24 00:09:02.840,,4,90,,1
567,304,<black-hole><entropy><naming>,2011-11-24 04:45:57.393,,4,94,,
570,195,<soft-question><big-list>,2011-11-24 13:38:20.477,,18,1409,14,2
579,638,<quantum-foundations>,2011-11-25 04:18:40.290,,3,299,1,8
588,567,<supersymmetry>,2011-11-26 00:02:22.860,589,3,202,1,7
592,457,<conformal-field-theory>,2011-11-26 11:55:33.440,,11,185,2,3
594,150,<quantum-field-theory><scattering><classical-limit>,2011-11-26 20:10:04.390,597,10,658,4,7
595,150,<general-relativity><black-hole><einstein-maxwell>,2011-11-26 20:17:49.743,638,6,261,2,4
598,638,<quantum-foundations>,2011-11-27 00:28:33.237,,3,238,1,0
599,638,<quantum-foundations>,2011-11-27 06:42:07.483,,1,156,,3
605,510,<quantum-mechanics><quant-ph><quantum-optics>,2011-11-30 07:39:42.070,607,15,457,2,
606,658,<gravity>,2011-11-30 10:04:38.310,,1,79,0,3
608,358,<hep-th><supergravity>,2011-11-30 22:04:25.683,610,7,148,1,
609,93,<math-ph><quantum-computing><quantum-foundations><math>,2011-12-01 08:54:21.030,,14,554,7,4
614,342,<quantum-gravity>,2011-12-01 22:05:34.810,,6,174,1,1
616,60,<soft-question><reference-request>,2011-12-02 02:55:41.090,,2,353,2,2
618,665,<quantum-mechanics><entanglement><history-overview>,2011-12-02 07:30:11.373,719,2,124,1,4
621,150,<quantum-field-theory><conformal-field-theory>,2011-12-02 18:08:33.510,,4,207,1,2
622,150,<quantum-field-theory><conformal-field-theory>,2011-12-02 18:12:06.403,629,7,202,1,4
623,150,<string-theory><branes><topological-qft>,2011-12-02 18:27:26.733,,6,113,,1
625,43,<reference-request><differential-equations>,2011-12-03 03:04:00.123,631,12,157,2,3
632,673,<quantum-field-theory><string-theory><soft-question><career-advice>,2011-12-03 23:08:02.560,,1,226,,1
633,674,<quantum-field-theory><higgs>,2011-12-04 03:15:18.097,,8,215,1,1
639,168,<quantum-field-theory>,2011-12-05 23:38:26.273,,4,540,1,1
643,285,<quantum-field-theory><quantum>,2011-12-06 11:22:52.677,665,4,308,1,3
644,682,<quantum-mechanics>,2011-12-06 14:26:36.633,645,3,196,2,2
648,168,<quantum-field-theory><cond-mat>,2011-12-07 00:45:05.347,,4,92,,2
649,687,<kaluza-klein>,2011-12-07 14:04:03.147,654,9,449,5,0
651,92,<quantum-computing><computer-science>,2011-12-07 19:01:11.653,,11,115,,1
660,691,<molecular-dynamics>,2011-12-09 07:56:43.200,,6,127,,6
661,150,<quantum-field-theory><perturbation-theory>,2011-12-09 20:16:14.550,,1,150,1,9
662,150,<string-theory><quantization>,2011-12-09 20:57:08.510,663,8,226,2,1
667,259,<supersymmetry>,2011-12-10 15:06:22.080,,12,592,,10
668,87,<higgs><standard-model>,2011-12-10 16:40:55.797,826,11,485,1,9
670,696,<quantum-field-theory><reference-request>,2011-12-11 15:23:21.897,,6,213,1,
672,21,<string-theory>,2011-12-11 19:32:26.123,673,8,210,1,1
674,150,<string-theory><branes>,2011-12-11 21:43:10.793,676,4,133,1,1
675,150,<string-theory><string-landscape>,2011-12-11 21:55:24.110,677,4,159,1,
678,211,<higgs><mssm>,2011-12-12 17:49:51.130,684,6,229,1,1
679,143,<quantum-field-theory>,2011-12-12 21:58:02.977,680,14,209,1,1
682,708,<string-theory><supersymmetry><particle-physics>,2011-12-13 21:05:57.737,,6,812,2,3
685,394,<hamiltonian-mechanics><lagrangian-mechanics>,2011-12-14 00:54:43.720,,4,196,2,2
686,707,<reference-request><conformal-field-theory>,2011-12-14 05:30:31.970,,5,189,2,5
694,709,<book-recommendation>,2011-12-15 00:18:40.893,,6,540,3,5
696,121,<statistical-mechanics><entropy><fractal>,2011-12-15 12:49:13.937,,8,121,1,
697,150,<string-theory><conformal-field-theory><adscft>,2011-12-15 13:56:43.047,698,7,263,1,
701,711,<quantum-information><quantum-error-correction>,2011-12-16 16:15:20.817,714,8,231,3,
704,621,<quantum-field-theory>,2011-12-17 07:03:08.943,,5,185,2,
707,150,<quantum-gravity>,2011-12-17 18:09:22.830,,6,234,1,3
710,21,<quantum-field-theory>,2011-12-18 08:38:39.710,711,3,272,2,2
715,168,<quantum-field-theory><gauge-theory><yang-mills-theory><gauge-symmetry>,2011-12-20 21:35:19.110,716,8,218,1,
717,618,<reference-request><standard-model>,2011-12-20 22:45:54.823,,5,153,1,
720,475,<supersymmetry><mssm>,2011-12-21 23:28:26.943,722,4,188,1,
723,730,<quantum-field-theory><string-theory>,2011-12-23 00:08:30.630,,6,170,1,
727,150,<quantum-field-theory><quantum-mechanics><quantum-electrodynamics>,2011-12-23 11:51:56.510,,8,156,1,2
728,198,<quantum-field-theory><hep-th><hep-ph>,2011-12-23 15:15:09.750,,4,102,,2
730,512,<cond-mat>,2011-12-23 22:56:31.140,,8,87,1,
734,150,<quantum-field-theory><particle-physics><thermal-qft>,2011-12-24 19:09:32.677,,3,171,1,
736,198,<renormalization>,2011-12-25 21:29:14.347,,2,130,,12
737,736,<particle-physics><cosmology>,2011-12-26 17:46:40.863,,3,86,,
738,736,<quantum-field-theory><general-relativity>,2011-12-26 17:56:32.437,,3,407,6,1
739,150,<quantum-field-theory><perturbation-theory><nuclear-physics>,2011-12-26 19:03:24.930,,9,237,2,1
742,737,<gauge-theory><black-hole><gr-singularity>,2011-12-26 23:32:47.133,745,5,147,1,2
747,168,<quantum-field-theory><reference-request><gauge-theory><soft-question><yang-mills-theory>,2011-12-28 00:05:33.643,748,5,260,2,
755,737,<reference-request><soft-question><topological-qft>,2011-12-29 18:28:43.457,763,8,403,4,3
758,707,<symmetry><analytical-mechanics>,2011-12-30 05:14:09.797,762,7,166,2,
760,150,<quantum-field-theory><regularization>,2011-12-30 11:51:16.993,,13,248,3,1
764,730,<quantum-field-theory><supersymmetry>,2011-12-30 23:16:43.643,,6,231,1,6
768,753,<general-relativity>,2012-01-01 19:08:57.480,769,9,218,1,
771,753,<general-relativity>,2012-01-01 22:50:40.463,773,2,110,1,
776,761,<statistical-mechanics>,2012-01-06 06:03:41.157,,5,161,,11
780,738,<quantum-gravity><black-hole>,2012-01-06 18:46:12.473,,18,242,,13
781,150,<string-theory>,2012-01-06 19:57:34.963,,4,199,1,
782,150,<string-theory><string-landscape>,2012-01-06 20:14:56.353,,4,74,,5
783,150,<string-theory><soft-question>,2012-01-07 00:05:24.563,,3,271,2,
784,730,<quantum-field-theory><string-theory><adscft><quantum-gravity>,2012-01-07 00:48:14.563,,6,297,1,2
791,358,<quantum-field-theory><hep-th><reference-request><topological-qft>,2012-01-10 19:57:49.717,,6,172,1,
794,93,<soft-question><book-recommendation>,2012-01-11 11:33:29.597,,17,580,8,2
797,769,<gravity><gauge-symmetry>,2012-01-11 14:53:13.027,,5,126,2,0
803,229,<quantum-information><quantum-computing><group-theory><stabilizer>,2012-01-12 11:33:57.217,827,15,528,4,2
805,198,<quantum-field-theory><thermal-qft><classical-thermodynamics>,2012-01-12 20:41:52.420,,3,89,,10
810,730,<quantum-field-theory><string-theory><soft-question><career-advice>,2012-01-13 23:45:21.900,,0,117,,4
811,621,<quantum-field-theory><renormalization-group>,2012-01-14 05:06:07.283,,6,173,1,1
812,150,<quantum-field-theory><conformal-field-theory>,2012-01-14 12:21:46.973,,4,154,2,
818,780,<string-theory><adscft><quantization>,2012-01-15 12:42:45.023,,3,52,,
821,781,<classical-thermodynamics><simulation><fluid-dynamics><lattice-boltzmann>,2012-01-15 23:27:51.283,,8,93,1,3
822,168,<quantum-field-theory><string-theory><supersymmetry><reference-request><phase-transition>,2012-01-16 00:54:56.347,824,5,120,1,
825,783,<quantum-field-theory><supersymmetry><standard-model><renormalization-group>,2012-01-16 14:53:23.903,,11,170,,
830,298,<quantum-field-theory><classical-electrodynamics>,2012-01-17 17:22:07.930,832,7,218,1,1
831,172,<quant-ph><quantum-foundations>,2012-01-17 23:31:12.303,,10,235,3,
835,198,<quantum-field-theory><reference-request>,2012-01-18 16:33:10.177,,3,188,0,4
837,11,<quantum-computing><software>,2012-01-20 01:19:51.510,,12,344,5,1
840,11,<quantum-computing><computer-science>,2012-01-20 16:30:38.353,,8,95,1,3
843,154,<quant-ph>,2012-01-20 18:00:29.217,,7,175,,6
846,150,<string-theory>,2012-01-21 13:53:51.313,,5,214,2,0
848,150,<classical-field-theory><special-relativity>,2012-01-21 18:36:32.173,,6,188,1,2
849,521,<soft-question><general-relativity>,2012-01-21 19:14:44.540,850,4,167,1,1
853,89,<quantum-field-theory><group-theory>,2012-01-22 23:06:17.583,858,3,206,1,4
854,168,<quantum-field-theory><yang-mills-theory>,2012-01-23 01:05:03.710,868,4,321,2,
862,450,<spin-model><entanglement>,2012-01-25 14:01:17.813,872,2,118,2,5
863,493,<quantum-mechanics><quant-ph><simulation>,2012-01-25 17:25:37.770,864,8,126,1,2
866,121,<quantum-mechanics><reference-request><quantum-information><spin-model><locc>,2012-01-25 22:06:08.967,,8,81,,2
867,617,<string-theory><soft-question>,2012-01-25 22:28:30.957,,5,104,,3
870,811,<quantum-field-theory><standard-model>,2012-01-26 06:05:08.310,873,12,208,1,1
874,128,<entanglement><thermal-qft><lattice-qft>,2012-01-26 18:09:43.593,,7,150,1,
877,711,<statistical-mechanics><spin-model>,2012-01-26 22:53:47.183,878,3,112,1,
880,784,<quantum-mechanics><hep-th>,2012-01-29 17:00:49.230,,3,90,0,1
883,824,<quantum-field-theory>,2012-01-30 22:58:02.297,,2,163,,2
884,11,<reference-request><quantum-information>,2012-01-31 01:51:04.710,,9,163,1,3
885,730,<quantum-field-theory><yang-mills-theory>,2012-01-31 03:44:13.963,887,7,151,1,2
888,832,<quantum-field-theory><string-theory><soft-question>,2012-02-02 13:33:47.673,,5,332,2,2
889,521,<reference-request><astrophysics><neutron-stars><introduction>,2012-02-02 18:58:47.087,891,5,107,1,4
893,150,<quantum-mechanics><special-relativity>,2012-02-04 21:39:28.843,,3,93,,
894,150,<string-theory><conformal-field-theory>,2012-02-05 09:45:22.080,,6,302,3,2
895,150,<quantum-field-theory><scattering>,2012-02-05 10:14:53.697,,7,366,4,
902,766,<quantum-mechanics><quantum-optics>,2012-02-07 06:01:47.990,903,8,199,2,
