QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
94,501,<growth-theory>,2011-10-12 17:22:14.120,102.0,8,101,1.0,,102,11.0,94,2011-10-12 19:19:33.163,8,1.0
97,114,<gdp>,2011-10-12 18:36:18.833,100.0,10,88,1.0,2.0,100,48.0,97,2011-10-12 19:10:45.823,5,3.0
103,89,<gdp>,2011-10-12 19:31:00.293,111.0,8,94,3.0,,111,104.0,103,2011-10-12 20:58:17.107,7,1.0
108,114,<markets><trade><critical-mass><matching-problem>,2011-10-12 20:10:46.667,902.0,3,220,2.0,12.0,902,632.0,108,2012-01-31 22:38:48.163,1,1.0
129,126,<central-bank>,2011-10-13 08:56:24.747,278.0,-4,108,3.0,2.0,278,10.0,129,2011-10-18 21:41:39.717,3,
134,103,<money-supply><government><speculation>,2011-10-13 11:09:00.480,166.0,-1,90,1.0,5.0,166,50.0,134,2011-10-15 04:09:15.933,2,
138,103,<history><bankruptcy>,2011-10-13 13:19:31.430,173.0,0,188,2.0,3.0,173,104.0,138,2011-10-15 13:45:45.630,4,
163,65,<cartel><regulation>,2011-10-14 18:59:27.730,171.0,1,41,1.0,,171,48.0,163,2011-10-15 11:31:28.837,2,
178,115,<interest-rates>,2011-10-15 15:11:18.500,281.0,3,74,2.0,0.0,281,89.0,178,2011-10-18 22:49:11.277,2,
203,15,<investment><development-economics>,2011-10-16 00:05:27.233,264.0,2,85,3.0,4.0,264,26.0,203,2011-10-17 23:47:02.843,2,
252,103,<money-supply>,2011-10-17 10:30:28.957,256.0,-2,127,2.0,3.0,256,104.0,252,2011-10-17 17:38:10.070,2,
288,50,<demand><microeconomics>,2011-10-20 02:02:22.450,296.0,6,119,1.0,1.0,296,68.0,288,2011-10-21 05:52:35.160,2,2.0
290,47,<price><gold>,2011-10-20 15:46:45.330,291.0,-1,70,1.0,1.0,291,114.0,290,2011-10-20 17:13:50.843,0,
306,114,<incentives><experimental-economics>,2011-10-23 21:07:35.120,326.0,3,100,3.0,6.0,326,103.0,306,2011-10-25 22:23:58.433,2,
307,14,<microeconomics><elasticity>,2011-10-23 21:17:49.117,312.0,2,109,2.0,,312,104.0,307,2011-10-24 08:46:09.997,5,
315,171,<cost-curves>,2011-10-25 05:09:10.467,316.0,4,298,1.0,1.0,316,26.0,315,2011-10-25 13:51:13.220,4,2.0
317,44,<utility-function><consumer-theory>,2011-10-25 14:04:37.567,399.0,3,152,3.0,3.0,399,119.0,317,2011-10-31 18:52:52.987,2,1.0
327,181,<utility-function>,2011-10-25 22:32:27.583,328.0,3,273,1.0,3.0,328,171.0,327,2011-10-25 23:25:10.390,5,2.0
337,206,<microeconomics><homework>,2011-10-26 23:27:33.277,338.0,5,714,3.0,,338,178.0,337,2011-10-27 00:02:00.130,2,
340,209,<microeconomics><homework>,2011-10-27 04:30:51.510,350.0,2,128,2.0,2.0,350,178.0,340,2011-10-27 13:17:25.610,3,
364,121,<microeconomics><public-policy><public-goods>,2011-10-29 11:25:52.117,366.0,5,279,4.0,2.0,366,44.0,364,2011-10-29 13:12:06.527,12,2.0
365,30,<currency>,2011-10-29 12:53:38.900,379.0,4,72,1.0,1.0,379,44.0,365,2011-10-30 13:15:57.997,2,
367,21,<game-theory><public-goods><auctions>,2011-10-29 14:05:03.773,368.0,1,71,1.0,,368,50.0,367,2011-10-29 14:58:11.650,2,7.0
374,224,<debt><greece><crisis>,2011-10-29 18:58:54.433,397.0,9,376,2.0,,397,133.0,374,2011-10-31 16:40:22.217,1,7.0
383,65,<macroeconomics><malthusian-crisis><growth-theory><technological-progress><sustainability>,2011-10-31 02:00:29.590,388.0,1,69,1.0,2.0,388,104.0,383,2011-10-31 07:22:04.240,4,4.0
408,187,<currency>,2011-11-02 05:05:22.937,412.0,2,63,1.0,,412,133.0,408,2011-11-02 13:24:11.107,1,2.0
411,114,<international-trade><politics>,2011-11-02 12:00:54.667,414.0,-3,79,1.0,15.0,414,48.0,411,2011-11-02 15:50:38.287,3,1.0
425,183,<microeconomics><price>,2011-11-03 17:55:21.980,427.0,2,89,1.0,,427,26.0,425,2011-11-03 19:03:18.010,4,0.0
426,254,<money-supply><monetary-policy>,2011-11-03 18:30:27.177,430.0,1,104,1.0,0.0,430,104.0,426,2011-11-03 19:27:16.587,3,
435,262,<debt><yield-curve><bonds>,2011-11-04 15:09:18.480,490.0,2,67,2.0,2.0,490,262.0,435,2011-11-07 14:08:36.723,1,
444,60,<macroeconomics><crisis>,2011-11-05 03:08:50.690,452.0,6,200,2.0,1.0,452,104.0,444,2011-11-05 08:47:43.477,6,
455,204,<macroeconomics><investment><swap-spreads>,2011-11-05 17:39:25.247,503.0,3,73,1.0,,503,501.0,455,2011-11-08 23:47:44.830,2,
476,115,<microeconomics><behavior><policy>,2011-11-06 14:10:02.580,481.0,1,85,2.0,,481,257.0,476,2011-11-06 21:42:34.553,3,
494,71,<trade>,2011-11-08 03:01:12.690,510.0,-1,90,1.0,3.0,510,249.0,494,2011-11-10 03:15:17.503,1,2.0
502,365,<incentives>,2011-11-08 22:56:50.667,508.0,1,185,5.0,2.0,508,48.0,502,2011-11-09 20:10:52.247,3,7.0
520,381,<demand><elasticity>,2011-11-11 17:49:54.837,521.0,-1,151,1.0,1.0,521,68.0,520,2011-11-12 03:03:00.867,3,6.0
524,242,<usa><organizational-economics>,2011-11-12 20:48:27.753,530.0,-1,70,1.0,3.0,530,104.0,524,2011-11-13 11:02:01.630,1,
543,44,<microeconomics><homework><firm>,2011-11-15 18:03:54.007,544.0,2,66,1.0,,544,68.0,543,2011-11-15 19:08:20.943,3,5.0
545,71,<usa><loans><sub-prime>,2011-11-15 19:14:35.947,564.0,1,61,1.0,2.0,564,178.0,545,2011-11-17 22:21:09.013,3,1.0
547,68,<microeconomics><decision-theory><microeconomic-theory><behavioral-economics>,2011-11-15 19:39:53.593,561.0,5,87,2.0,6.0,561,397.0,547,2011-11-17 14:36:39.540,4,5.0
556,111,<money-supply><central-bank>,2011-11-16 21:24:43.987,560.0,2,78,1.0,,560,104.0,556,2011-11-17 10:33:27.143,2,
565,114,<labor>,2011-11-17 22:40:57.777,566.0,1,31,1.0,,566,400.0,565,2011-11-17 23:23:44.337,1,
567,403,<gdp>,2011-11-18 08:47:16.087,568.0,1,62,1.0,,568,104.0,567,2011-11-18 13:15:23.683,2,1.0
570,403,<macroeconomics>,2011-11-18 14:03:34.307,573.0,0,67,2.0,1.0,573,104.0,570,2011-11-18 14:35:40.960,0,2.0
578,406,<computing>,2011-11-18 18:39:24.573,583.0,2,149,2.0,,583,82.0,578,2011-11-19 10:28:34.837,3,4.0
609,421,<homework><income-inequality><literature-request><spirit-level>,2011-11-23 12:04:46.650,611.0,3,49,1.0,4.0,611,104.0,609,2011-11-23 12:30:15.043,3,1.0
612,422,<debt><crisis><interest>,2011-11-23 14:56:03.983,675.0,2,55,1.0,,675,165.0,612,2011-12-03 04:15:52.737,1,
623,501,<usa><housing-market><case-shiller>,2011-11-24 17:51:33.803,625.0,2,83,1.0,,625,130.0,623,2011-11-25 00:14:34.760,3,
629,30,<currency>,2011-11-27 14:51:47.903,630.0,4,165,2.0,2.0,630,81.0,629,2011-11-27 15:47:15.170,5,2.0
650,432,<wages>,2011-11-30 04:28:08.053,663.0,0,106,2.0,3.0,663,133.0,650,2011-11-30 15:13:16.310,2,1.0
651,432,<microeconomics>,2011-11-30 04:36:26.383,654.0,-1,103,1.0,5.0,654,68.0,651,2011-11-30 06:34:41.690,8,4.0
652,432,<microeconomics>,2011-11-30 04:42:27.853,666.0,1,89,4.0,3.0,666,501.0,652,2011-12-01 14:23:56.963,2,1.0
678,441,<money-supply><inflation><central-bank>,2011-12-03 14:51:54.000,681.0,2,108,2.0,,681,104.0,678,2011-12-03 20:42:47.637,2,
689,329,<damage-function>,2011-12-05 08:41:33.220,690.0,1,57,1.0,,690,104.0,689,2011-12-05 13:19:23.483,4,2.0
700,181,<microeconomics><elasticity>,2011-12-06 20:39:49.613,704.0,0,82,1.0,2.0,704,397.0,700,2011-12-07 11:15:26.380,2,
708,470,<usa><taxation><policy>,2011-12-08 16:11:56.683,710.0,8,181,3.0,2.0,710,405.0,708,2011-12-08 20:27:49.900,6,2.0
711,114,<public-policy><policy><politics>,2011-12-08 22:47:52.360,713.0,2,62,2.0,,713,104.0,711,2011-12-09 08:09:29.013,5,
718,485,<homework><international-trade>,2011-12-12 22:25:26.253,719.0,2,83,1.0,,719,26.0,718,2011-12-12 23:23:51.047,2,
725,488,<macroeconomics><investment><speculation>,2011-12-14 20:19:58.010,737.0,5,162,5.0,2.0,737,114.0,725,2011-12-15 13:33:02.260,4,5.0
730,465,<currency><monetary-policy><central-bank>,2011-12-15 03:04:15.893,733.0,3,173,2.0,,733,104.0,730,2011-12-15 09:02:12.743,6,3.0
739,465,<currency><monetary-policy><money-supply><central-bank>,2011-12-15 17:04:54.490,746.0,1,79,1.0,,746,104.0,739,2011-12-16 12:53:12.037,1,
741,30,<inflation><euro><foreign-exchange>,2011-12-16 00:35:47.997,1127.0,3,105,2.0,,1127,776.0,741,2012-03-17 09:37:10.323,2,
754,485,<macroeconomics><homework><international-trade>,2011-12-17 17:10:22.063,756.0,2,104,3.0,2.0,756,48.0,754,2011-12-17 18:10:04.090,3,
764,432,<welfare>,2011-12-20 18:48:39.093,765.0,-3,118,1.0,4.0,765,178.0,764,2011-12-20 21:48:05.090,-1,10.0
778,21,<macroeconomics><interest-rates>,2011-12-24 17:41:44.563,807.0,2,125,3.0,,807,89.0,778,2012-01-03 21:18:18.550,1,
781,524,<econometrics>,2011-12-25 17:09:55.160,790.0,1,90,1.0,2.0,790,26.0,781,2011-12-29 06:52:07.683,2,
782,342,<theory>,2011-12-25 19:11:53.137,784.0,0,41,1.0,1.0,784,97.0,782,2011-12-26 19:06:24.540,1,
792,449,<macroeconomics><gdp><growth>,2011-12-30 19:20:06.953,810.0,3,147,5.0,,810,178.0,792,2012-01-04 15:51:15.970,2,
813,28,<international-trade><econometric-data>,2012-01-05 18:34:54.447,849.0,1,39,1.0,1.0,849,564.0,813,2012-01-16 06:09:49.247,1,1.0
826,329,<currency><foreign-exchange>,2012-01-10 08:39:56.980,827.0,2,58,3.0,3.0,827,31.0,826,2012-01-10 09:26:13.740,3,1.0
831,573,<inflation><growth>,2012-01-11 10:18:41.723,833.0,2,133,3.0,2.0,833,489.0,831,2012-01-11 20:41:49.093,2,
846,346,<interest-rates>,2012-01-16 00:46:49.547,919.0,0,152,1.0,6.0,919,567.0,846,2012-02-04 01:19:19.757,1,1.0
851,588,<homework><microeconomic-theory>,2012-01-16 10:39:27.377,1002.0,1,115,2.0,3.0,1002,721.0,851,2012-02-23 21:46:03.363,0,1.0
852,47,<bonds><rating>,2012-01-16 16:19:45.007,873.0,0,30,1.0,,873,133.0,852,2012-01-20 14:59:19.247,1,
855,47,<gold>,2012-01-18 12:01:03.833,860.0,2,84,3.0,,860,104.0,855,2012-01-18 18:19:17.300,2,2.0
863,414,<microeconomics>,2012-01-19 10:14:46.933,867.0,4,98,2.0,1.0,867,178.0,863,2012-01-19 15:31:50.890,2,1.0
864,47,<inflation><europe>,2012-01-19 10:59:00.240,865.0,3,91,1.0,1.0,865,31.0,864,2012-01-19 11:43:56.973,3,
879,618,<microeconomics><price><models>,2012-01-24 00:54:02.777,880.0,1,90,1.0,,880,104.0,879,2012-01-24 07:52:09.380,1,2.0
897,342,<gdp>,2012-01-31 01:27:05.907,900.0,3,90,3.0,,900,26.0,897,2012-01-31 15:13:16.140,2,
912,650,<investment><utility-function><microeconomic-theory><optimization>,2012-02-03 13:58:09.717,918.0,2,125,2.0,,918,11.0,912,2012-02-04 01:09:43.840,1,2.0
925,446,<currency><inflation><monetary-policy><money-supply>,2012-02-06 07:10:21.773,926.0,0,47,1.0,,926,632.0,925,2012-02-06 08:13:24.410,1,
932,666,<research>,2012-02-08 04:04:20.420,936.0,1,155,1.0,,936,26.0,932,2012-02-08 18:46:24.153,2,1.0
941,403,<markets>,2012-02-09 08:31:32.720,942.0,0,71,3.0,,942,400.0,941,2012-02-09 12:34:39.140,3,1.0
957,683,<currency><macroeconomics>,2012-02-13 04:41:20.513,962.0,3,123,1.0,,962,400.0,957,2012-02-13 19:09:57.923,1,
963,632,<growth><austerity>,2012-02-13 21:25:08.200,997.0,2,101,3.0,,997,50.0,963,2012-02-22 17:00:40.597,3,
981,644,<unemployment>,2012-02-16 19:35:39.923,990.0,0,272,2.0,,990,104.0,981,2012-02-20 08:24:13.213,1,
998,491,<taxation>,2012-02-23 12:24:53.407,1018.0,0,58,1.0,,1018,722.0,998,2012-02-27 02:01:55.957,1,1.0
1005,724,<currency><trade><foreign-exchange>,2012-02-24 10:04:56.537,1006.0,1,80,2.0,3.0,1006,81.0,1005,2012-02-24 10:43:58.143,3,3.0
1038,741,<inflation>,2012-02-29 23:33:12.847,1039.0,0,43,1.0,,1039,669.0,1038,2012-03-01 00:37:04.783,0,
1040,742,<incentives><behavioral-economics>,2012-03-01 01:55:33.630,1041.0,2,42,1.0,,1041,104.0,1040,2012-03-01 09:00:59.550,3,2.0
1051,752,<theory><money-supply>,2012-03-05 19:21:04.857,1053.0,-3,122,1.0,3.0,1053,104.0,1051,2012-03-06 08:09:14.430,5,7.0
1061,1,<markets><labor>,2012-03-07 19:58:07.940,1166.0,5,175,4.0,,1166,104.0,1061,2012-03-31 09:11:51.523,1,1.0
1067,765,<currency>,2012-03-09 01:41:33.257,1081.0,-2,93,3.0,5.0,1081,165.0,1067,2012-03-09 18:27:34.650,2,1.0
1075,258,<currency><inflation><central-bank>,2012-03-09 10:57:58.813,1091.0,4,252,2.0,1.0,1091,708.0,1075,2012-03-10 09:40:44.310,5,14.0
1090,377,<money-supply>,2012-03-10 07:16:07.630,1092.0,-1,139,2.0,6.0,1092,769.0,1090,2012-03-10 12:30:13.997,1,8.0
1104,777,<currency><macroeconomics>,2012-03-13 07:51:29.193,1105.0,0,54,2.0,,1105,104.0,1104,2012-03-13 09:49:38.327,1,
1109,784,<software><linux>,2012-03-13 17:15:01.223,1135.0,1,144,3.0,2.0,1135,219.0,1109,2012-03-21 11:56:13.590,4,
1124,791,<debt><taxes>,2012-03-16 18:12:06.483,1134.0,0,150,2.0,5.0,1134,133.0,1124,2012-03-20 20:34:46.157,0,
1137,802,<international-trade>,2012-03-21 21:48:27.893,1140.0,1,65,2.0,1.0,1140,219.0,1137,2012-03-22 09:26:05.500,2,
1144,814,<markets><price>,2012-03-27 11:09:00.593,1146.0,1,48,1.0,,1146,104.0,1144,2012-03-27 12:56:43.440,2,1.0
1174,432,<utility-function>,2012-04-02 05:47:33.880,1183.0,-3,107,2.0,8.0,1183,826.0,1174,2012-04-04 19:41:24.723,1,
1177,830,<econometrics><price-adjustment>,2012-04-03 09:22:17.427,1180.0,3,144,2.0,,1180,407.0,1177,2012-04-03 15:10:58.383,2,2.0
1181,838,<econometrics>,2012-04-04 11:23:20.210,1182.0,0,50,1.0,,1182,844.0,1181,2012-04-04 19:01:45.067,0,2.0
1323,114,<untagged>,2011-11-29 23:31:49.620,1324.0,3,29,2.0,1.0,1324,,1323,2011-11-30 01:35:58.450,5,2.0
