QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
367,21,<game-theory><public-goods><auctions>,2011-10-29 14:05:03.773,368,1,71,1,
371,125,<markets><unemployment>,2011-10-29 17:39:51.960,,2,105,0,2
374,224,<debt><greece><crisis>,2011-10-29 18:58:54.433,397,9,376,2,
380,114,<incentives>,2011-10-30 22:38:55.913,,4,45,2,1
382,71,<interest-rates>,2011-10-31 01:39:37.273,,2,69,1,3
383,65,<macroeconomics><malthusian-crisis><growth-theory><technological-progress><sustainability>,2011-10-31 02:00:29.590,388,1,69,1,2
384,65,<currency><sustainability><self-sufficiency><globalization>,2011-10-31 02:09:06.367,,-1,58,1,1
385,71,<currency>,2011-10-31 06:04:24.260,,1,45,1,
386,71,<investment>,2011-10-31 06:43:23.277,,1,56,0,
389,114,<organizational-economics><productivity>,2011-10-31 09:26:35.847,,4,84,2,2
392,121,<behavior><risk-taking><lateral-applications>,2011-10-31 12:55:38.067,,6,176,0,5
393,65,<models><macroeconomics><malthusian-crisis><sustainability>,2011-10-31 13:22:54.073,,2,76,,6
400,119,<literature-request><bayesian-models>,2011-10-31 19:06:52.423,,6,144,0,3
401,238,<trade>,2011-10-31 20:19:54.817,,0,49,2,2
405,242,<price>,2011-11-01 09:48:04.573,,-1,106,2,4
408,187,<currency>,2011-11-02 05:05:22.937,412,2,63,1,
409,246,<taxation><homework>,2011-11-02 07:06:59.737,,0,120,0,3
411,114,<international-trade><politics>,2011-11-02 12:00:54.667,414,-3,79,1,15
418,501,<taxation><public-policy>,2011-11-02 20:35:37.477,,4,22,,
419,501,<monetary-policy>,2011-11-02 20:40:40.903,,1,29,,
423,181,<research>,2011-11-03 14:52:07.167,,3,112,1,2
424,501,<public-policy><macroeconomics><income-inequality>,2011-11-03 15:01:14.317,,2,90,1,4
425,183,<microeconomics><price>,2011-11-03 17:55:21.980,427,2,89,1,
426,254,<money-supply><monetary-policy>,2011-11-03 18:30:27.177,430,1,104,1,0
432,501,<public-policy><finance><market-clearing>,2011-11-04 04:21:12.653,,6,82,1,1
433,501,<currency><monetary-policy><inflation>,2011-11-04 04:27:20.713,,2,66,1,
435,262,<debt><yield-curve><bonds>,2011-11-04 15:09:18.480,490,2,67,2,2
439,45,<macroeconomics><keynesian>,2011-11-04 21:36:24.390,,3,92,,
444,60,<macroeconomics><crisis>,2011-11-05 03:08:50.690,452,6,200,2,1
455,204,<macroeconomics><investment><swap-spreads>,2011-11-05 17:39:25.247,503,3,73,1,
456,501,<theory><history>,2011-11-04 04:33:57.617,,9,481,3,6
473,334,<microeconomics><schools>,2011-11-06 04:12:34.720,,-2,125,1,3
474,335,<currency><inflation>,2011-11-06 07:50:44.120,,2,87,1,5
476,115,<microeconomics><behavior><policy>,2011-11-06 14:10:02.580,481,1,85,2,
485,257,<microeconomics><usa>,2011-11-06 22:23:54.057,,8,241,0,3
487,71,<price>,2011-11-07 04:21:54.127,,3,47,0,0
493,501,<public-policy><game-theory><public-goods><agent><externalities>,2011-11-08 00:14:18.090,,8,207,0,4
494,71,<trade>,2011-11-08 03:01:12.690,510,-1,90,1,3
496,354,<macroeconomics><debt><gdp><interest>,2011-11-08 08:31:30.613,,1,128,2,11
501,21,<game-theory><competition><loss-leader>,2011-11-08 21:27:21.387,,5,105,2,2
502,365,<incentives>,2011-11-08 22:56:50.667,508,1,185,5,2
517,71,<research>,2011-11-10 04:16:37.770,,3,140,2,1
520,381,<demand><elasticity>,2011-11-11 17:49:54.837,521,-1,151,1,1
524,242,<usa><organizational-economics>,2011-11-12 20:48:27.753,530,-1,70,1,3
526,152,<public-policy>,2011-11-12 21:55:55.380,,2,78,1,
527,133,<inflation><usa>,2011-11-13 00:38:41.977,,1,73,1,1
531,14,<homework>,2011-11-13 19:41:04.423,,1,129,0,1
532,14,<homework>,2011-11-13 20:21:38.117,,2,172,0,5
534,65,<microeconomics><macroeconomics><risk><supply-chain><production>,2011-11-14 01:45:35.627,,2,80,1,2
539,160,<monetary-policy><usa><crisis>,2011-11-15 01:20:30.663,,4,125,1,
543,44,<microeconomics><homework><firm>,2011-11-15 18:03:54.007,544,2,66,1,
545,71,<usa><loans><sub-prime>,2011-11-15 19:14:35.947,564,1,61,1,2
546,68,<microeconomics><auctions><microeconomic-theory><mechanism-design>,2011-11-15 19:31:25.937,,5,176,0,2
547,68,<microeconomics><decision-theory><microeconomic-theory><behavioral-economics>,2011-11-15 19:39:53.593,561,5,87,2,6
548,68,<macroeconomics><utility-function>,2011-11-15 19:47:33.267,,2,131,1,
553,149,<markets><knowledge>,2011-11-16 14:25:33.680,,2,38,1,1
556,111,<money-supply><central-bank>,2011-11-16 21:24:43.987,560,2,78,1,
565,114,<labor>,2011-11-17 22:40:57.777,566,1,31,1,
567,403,<gdp>,2011-11-18 08:47:16.087,568,1,62,1,
569,404,<macroeconomics><debt>,2011-11-18 13:49:58.140,,6,151,5,
570,403,<macroeconomics>,2011-11-18 14:03:34.307,573,0,67,2,1
572,104,<pop-economics><drugs>,2011-11-18 14:20:25.743,,7,78,2,4
577,133,<debt><sustainability>,2011-11-18 16:14:08.167,,3,161,4,2
578,406,<computing>,2011-11-18 18:39:24.573,583,2,149,2,
584,410,<currency><debt><bonds>,2011-11-19 11:09:23.790,,1,114,1,
588,412,<development-economics>,2011-11-19 15:29:47.557,,2,57,0,
593,403,<utility><marginal-utility>,2011-11-19 22:32:51.753,,1,49,2,
595,416,<game-theory><price><optimization><auctions><mechanism-design>,2011-11-20 04:53:54.040,,5,38,0,0
596,410,<currency><debt><bonds><greece><euro>,2011-11-20 11:30:38.170,,10,290,4,6
609,421,<homework><income-inequality><literature-request><spirit-level>,2011-11-23 12:04:46.650,611,3,49,1,4
612,422,<debt><crisis><interest>,2011-11-23 14:56:03.983,675,2,55,1,
613,423,<monetary-policy><bonds><government>,2011-11-23 15:38:11.663,,2,44,2,1
616,48,<pop-economics><moral-hazard><perverse-incentives>,2011-11-23 19:11:53.130,,4,80,0,1
621,21,<econometrics><gmm>,2011-11-24 14:02:33.020,,3,131,0,
623,501,<usa><housing-market><case-shiller>,2011-11-24 17:51:33.803,625,2,83,1,
629,30,<currency>,2011-11-27 14:51:47.903,630,4,165,2,2
634,178,<demand>,2011-11-28 13:38:59.677,,1,100,3,4
637,215,<microeconomics><homework><models><utility-function>,2011-11-28 16:51:45.077,,1,109,,2
641,444,<inflation><crisis><deflation><government>,2011-11-29 05:01:04.003,,0,88,3,2
644,447,<price>,2011-11-29 14:51:14.840,,2,52,,4
648,114,<incentives>,2011-11-29 23:31:49.620,,3,87,0,
650,432,<wages>,2011-11-30 04:28:08.053,663,0,106,2,3
651,432,<microeconomics>,2011-11-30 04:36:26.383,654,-1,103,1,5
652,432,<microeconomics>,2011-11-30 04:42:27.853,666,1,89,4,3
656,97,<history><wealth><outsourcing><colonialism>,2011-11-30 09:39:49.460,,0,45,1,2
657,247,<growth>,2011-11-30 11:06:02.173,,7,168,0,1
667,397,<game-theory>,2011-12-01 19:53:30.280,,6,140,0,2
671,114,<housing-market>,2011-12-02 13:57:59.540,,3,57,2,
672,457,<debt><crisis>,2011-12-02 18:10:39.180,,0,56,1,1
678,441,<money-supply><inflation><central-bank>,2011-12-03 14:51:54.000,681,2,108,2,
685,14,<risk>,2011-12-04 17:51:26.230,,1,105,1,1
688,432,<elasticity>,2011-12-05 08:25:21.160,,4,267,0,3
689,329,<damage-function>,2011-12-05 08:41:33.220,690,1,57,1,
691,425,<bonds><interest-rates>,2011-12-05 14:40:18.407,,1,56,0,6
695,464,<macroeconomics><homework><finance><development-economics>,2011-12-06 07:43:20.660,,2,149,3,1
700,181,<microeconomics><elasticity>,2011-12-06 20:39:49.613,704,0,82,1,2
701,204,<currency><crisis><finance>,2011-12-07 07:13:46.597,,3,89,1,1
702,467,<money-supply>,2011-12-07 09:03:56.030,,0,94,,1
703,204,<currency><finance>,2011-12-07 09:09:23.493,,3,78,1,3
708,470,<usa><taxation><policy>,2011-12-08 16:11:56.683,710,8,181,3,2
711,114,<public-policy><policy><politics>,2011-12-08 22:47:52.360,713,2,62,2,
716,479,<gdp><development-economics>,2011-12-11 17:50:52.077,,4,84,2,
718,485,<homework><international-trade>,2011-12-12 22:25:26.253,719,2,83,1,
721,485,<homework><price><international-trade>,2011-12-13 01:06:51.497,,2,103,0,3
725,488,<macroeconomics><investment><speculation>,2011-12-14 20:19:58.010,737,5,162,5,2
727,489,<gdp>,2011-12-14 23:43:23.120,,2,21,1,2
728,489,<debt><bonds><yield-curve>,2011-12-14 23:54:08.950,,3,194,3,1
729,475,<international-trade>,2011-12-15 02:25:11.043,,5,49,1,2
730,465,<currency><monetary-policy><central-bank>,2011-12-15 03:04:15.893,733,3,173,2,
734,14,<treasuries>,2011-12-15 11:31:36.487,,2,34,1,
739,465,<currency><monetary-policy><money-supply><central-bank>,2011-12-15 17:04:54.490,746,1,79,1,
740,405,<treasuries>,2011-12-15 23:48:40.840,,2,52,2,
741,30,<inflation><euro><foreign-exchange>,2011-12-16 00:35:47.997,1127,3,105,2,
742,492,<public-policy>,2011-12-16 05:21:49.847,,4,170,0,1
754,485,<macroeconomics><homework><international-trade>,2011-12-17 17:10:22.063,756,2,104,3,2
758,485,<homework><international-trade>,2011-12-17 20:08:21.573,,1,44,,3
759,498,<utility-function><marginal-utility>,2011-12-17 22:14:40.280,,4,93,0,
763,506,<macroeconomics><debt><crisis><investment><risk>,2011-12-20 12:13:34.820,,3,97,2,3
764,432,<welfare>,2011-12-20 18:48:39.093,765,-3,118,1,4
769,397,<theory><welfare><population>,2011-12-22 14:46:15.557,,2,30,,
771,489,<currency><foreign-exchange>,2011-12-23 13:50:41.340,,5,64,1,
772,522,<markets><finance>,2011-12-23 18:48:32.353,,4,97,3,
778,21,<macroeconomics><interest-rates>,2011-12-24 17:41:44.563,807,2,125,3,
780,71,<macroeconomics>,2011-12-24 20:34:55.730,,0,122,1,4
781,524,<econometrics>,2011-12-25 17:09:55.160,790,1,90,1,2
782,342,<theory>,2011-12-25 19:11:53.137,784,0,41,1,1
788,530,<microeconomics><econometrics><models><finance><investment>,2011-12-27 17:15:42.403,,1,61,,
792,449,<macroeconomics><gdp><growth>,2011-12-30 19:20:06.953,810,3,147,5,
793,538,<microeconomics>,2011-12-30 22:50:40.797,,3,160,5,4
802,548,<markets><price>,2012-01-02 17:25:29.450,,0,48,,4
809,505,<macroeconomics><theory>,2012-01-04 07:15:14.700,,2,82,,2
812,28,<microeconomic-theory>,2012-01-05 18:24:24.043,,1,165,2,1
813,28,<international-trade><econometric-data>,2012-01-05 18:34:54.447,849,1,39,1,1
815,93,<growth>,2012-01-06 17:12:33.220,,2,60,,1
816,562,<homework><theory>,2012-01-06 17:27:02.687,,1,197,0,1
818,566,<macroeconomics><central-bank><pop-economics>,2012-01-07 18:10:44.607,,3,146,1,
821,50,<unemployment>,2012-01-08 13:15:37.780,,1,56,1,
822,569,<theory>,2012-01-09 09:13:11.840,,1,171,0,
826,329,<currency><foreign-exchange>,2012-01-10 08:39:56.980,827,2,58,3,3
831,573,<inflation><growth>,2012-01-11 10:18:41.723,833,2,133,3,2
835,489,<taxes>,2012-01-11 20:49:59.910,,3,141,1,1
837,577,<theory><game-theory><microeconomic-theory>,2012-01-12 03:35:34.413,,1,110,0,1
840,557,<euro><bankruptcy>,2012-01-14 04:45:01.297,,2,54,1,1
846,346,<interest-rates>,2012-01-16 00:46:49.547,919,0,152,1,6
851,588,<homework><microeconomic-theory>,2012-01-16 10:39:27.377,1002,1,115,2,3
852,47,<bonds><rating>,2012-01-16 16:19:45.007,873,0,30,1,
853,590,<econometrics>,2012-01-16 19:11:10.033,,1,74,0,2
855,47,<gold>,2012-01-18 12:01:03.833,860,2,84,3,
859,114,<markets><critical-mass>,2012-01-18 16:46:00.077,,0,68,1,3
862,599,<microeconomics><markets>,2012-01-18 21:47:35.813,,2,230,4,0
863,414,<microeconomics>,2012-01-19 10:14:46.933,867,4,98,2,1
864,47,<inflation><europe>,2012-01-19 10:59:00.240,865,3,91,1,1
866,570,<taxation><government><australia>,2012-01-19 12:55:53.670,,1,48,0,3
871,603,<debt>,2012-01-20 05:01:10.367,,3,123,1,4
872,603,<theory>,2012-01-20 05:13:35.917,,1,78,0,1
878,616,<theory><markets><price><history><price-volatility>,2012-01-23 22:05:18.507,,0,39,,2
879,618,<microeconomics><price><models>,2012-01-24 00:54:02.777,880,1,90,1,
881,108,<models><forecasts>,2012-01-24 09:48:07.333,,0,32,,2
883,626,<currency>,2012-01-27 03:08:38.920,,4,207,0,
885,630,<crisis><euro>,2012-01-28 14:16:15.667,,1,95,2,2
887,632,<growth><trade><productivity>,2012-01-29 11:22:22.933,,1,68,1,
888,632,<public-policy><growth><carbon-tax><pigovian-tax>,2012-01-29 11:33:51.980,,2,109,2,0
894,632,<education>,2012-01-30 11:42:27.087,,11,292,0,4
897,342,<gdp>,2012-01-31 01:27:05.907,900,3,90,3,
898,640,<debt><gdp>,2012-01-31 02:43:44.850,,5,232,5,2
903,643,<interest-rates><austrian>,2012-01-31 22:49:57.503,,-1,168,3,1
912,650,<investment><utility-function><microeconomic-theory><optimization>,2012-02-03 13:58:09.717,918,2,125,2,
914,632,<debt>,2012-02-03 16:14:11.463,,2,74,,
915,632,<taxation><welfare>,2012-02-03 17:15:15.413,,1,114,3,4
924,640,<debt>,2012-02-05 22:38:15.837,,2,146,3,4
925,446,<currency><inflation><monetary-policy><money-supply>,2012-02-06 07:10:21.773,926,0,47,1,
928,630,<crisis><central-bank><euro>,2012-02-07 18:20:34.543,,2,119,2,
932,666,<research>,2012-02-08 04:04:20.420,936,1,155,1,
933,667,<money-supply><gold>,2012-02-08 08:32:49.333,,8,353,0,1
939,672,<cost-curves>,2012-02-09 03:05:16.337,,1,75,1,
941,403,<markets>,2012-02-09 08:31:32.720,942,0,71,3,
948,308,<macroeconomics><econometrics>,2012-02-10 15:30:02.760,,0,78,3,3
955,462,<monetary-policy><central-bank>,2012-02-13 00:01:37.737,,3,100,2,2
957,683,<currency><macroeconomics>,2012-02-13 04:41:20.513,962,3,123,1,
958,684,<econometrics>,2012-02-13 13:57:58.833,,0,52,2,
963,632,<growth><austerity>,2012-02-13 21:25:08.200,997,2,101,3,
964,451,<crisis><euro><europe>,2012-02-13 21:27:12.580,,-3,55,2,1
973,693,<microeconomics><risk><experimental-economics>,2012-02-14 15:36:54.620,,2,48,,4
974,694,<taxation><taxes>,2012-02-14 22:08:05.020,,0,53,,
976,700,<markets>,2012-02-16 03:50:07.343,,2,155,5,2
979,701,<incentives><utility>,2012-02-16 17:54:33.203,,3,83,2,2
981,644,<unemployment>,2012-02-16 19:35:39.923,990,0,272,2,
983,632,<taxation>,2012-02-16 21:54:12.863,,3,45,,2
994,715,<education>,2012-02-21 23:05:50.077,,0,32,,2
998,491,<taxation>,2012-02-23 12:24:53.407,1018,0,58,1,
999,720,<keynesian>,2012-02-23 16:47:41.780,,1,45,,1
1000,71,<productivity>,2012-02-23 16:55:22.513,,1,62,1,1
1003,721,<microeconomics><homework>,2012-02-23 22:33:09.513,,3,127,0,
1005,724,<currency><trade><foreign-exchange>,2012-02-24 10:04:56.537,1006,1,80,2,3
1010,47,<debt>,2012-02-25 09:43:35.097,,0,53,2,
1013,729,<gold><policy>,2012-02-26 15:55:08.573,,9,274,6,2
1015,730,<homework><price>,2012-02-26 19:51:15.720,,0,97,1,0
1019,719,<microeconomics><sustainability>,2012-02-27 12:06:31.160,,2,99,2,
1020,730,<homework><game-theory>,2012-02-27 13:40:03.820,,0,95,0,1
1022,732,<software>,2012-02-27 18:54:51.373,,5,128,0,1
1025,730,<microeconomics><homework>,2012-02-27 22:49:07.543,,0,67,1,
1028,734,<income-inequality><wealth>,2012-02-28 20:57:55.290,,0,70,2,1
1033,739,<econometrics><price><forecasts>,2012-02-29 14:34:46.010,,0,67,,3
1035,599,<markets><microeconomic-theory>,2012-02-29 19:13:19.063,,0,98,2,1
1036,599,<price><euro><europe>,2012-02-29 19:31:32.567,,2,106,1,10
1038,741,<inflation>,2012-02-29 23:33:12.847,1039,0,43,1,
1040,742,<incentives><behavioral-economics>,2012-03-01 01:55:33.630,1041,2,42,1,
1042,599,<price><europe>,2012-03-01 11:03:25.323,,2,190,3,2
1047,741,<microeconomics>,2012-03-03 17:59:46.623,,0,65,,1
1048,414,<microeconomics><homework><elasticity>,2012-03-03 18:30:29.433,,2,47,1,
1049,145,<currency><foreign-exchange>,2012-03-03 23:19:31.170,,0,52,1,0
1051,752,<theory><money-supply>,2012-03-05 19:21:04.857,1053,-3,122,1,3
1052,754,<theory><public-policy><models>,2012-03-05 21:55:22.757,,1,59,2,1
1057,756,<macroeconomics><econometrics>,2012-03-06 21:31:43.383,,1,70,0,2
1061,1,<markets><labor>,2012-03-07 19:58:07.940,1166,5,175,4,
1062,756,<econometrics><homework>,2012-03-08 01:55:46.100,,1,93,2,
1064,762,<econometrics>,2012-03-08 20:52:10.850,,3,65,2,4
1067,765,<currency>,2012-03-09 01:41:33.257,1081,-2,93,3,5
1068,71,<markets>,2012-03-09 04:06:49.403,,0,98,3,1
1069,71,<markets>,2012-03-09 04:12:10.613,,2,47,1,
1072,524,<econometrics><elasticity><production>,2012-03-09 07:07:44.467,,2,90,0,
1075,258,<currency><inflation><central-bank>,2012-03-09 10:57:58.813,1091,4,252,2,1
1077,732,<models>,2012-03-09 12:54:30.153,,0,34,,5
1088,71,<unemployment>,2012-03-09 23:52:14.297,,1,69,2,
1090,377,<money-supply>,2012-03-10 07:16:07.630,1092,-1,139,2,6
1096,752,<currency><monetary-policy><international-trade><trade-finance><brazil>,2012-03-11 04:16:00.333,,2,78,,5
1100,104,<interest-rates><mortgages><swap-rates>,2012-03-12 13:51:07.307,,0,30,,
1103,783,<currency><macroeconomics><markets><central-bank><deflation>,2012-03-13 06:11:00.600,,1,80,2,
1104,777,<currency><macroeconomics>,2012-03-13 07:51:29.193,1105,0,54,2,
1106,730,<microeconomics><homework>,2012-03-13 11:46:30.543,,0,85,2,
1109,784,<software><linux>,2012-03-13 17:15:01.223,1135,1,144,3,2
1115,104,<natural-capital>,2012-03-15 08:18:42.067,,2,42,,3
1118,788,<stata>,2012-03-15 18:27:20.017,,-1,110,1,1
1120,789,<research>,2012-03-15 18:52:59.777,,1,116,2,1
1124,791,<debt><taxes>,2012-03-16 18:12:06.483,1134,0,150,2,5
1125,71,<currency><switzerland>,2012-03-17 02:57:12.207,,2,58,1,
1137,802,<international-trade>,2012-03-21 21:48:27.893,1140,1,65,2,1
1138,801,<macroeconomics><models><gdp><taxes>,2012-03-21 22:40:45.820,,1,27,,
1141,808,<incentives>,2012-03-24 12:34:59.583,,4,70,0,2
1143,813,<econometrics><metrics>,2012-03-27 10:11:44.677,,1,184,0,
1144,814,<markets><price>,2012-03-27 11:09:00.593,1146,1,48,1,
1145,815,<homework><demand><consumer-surplus>,2012-03-27 12:40:19.653,,2,56,2,
1149,648,<microeconomics><homework><elasticity>,2012-03-27 17:26:57.930,,2,64,0,
1153,524,<econometrics><price><finance><trade-finance>,2012-03-29 01:16:05.780,,1,61,0,1
1155,732,<markets>,2012-03-29 07:10:49.397,,4,99,0,
1161,822,<currency><macroeconomics>,2012-03-30 02:20:14.000,,0,28,,
1162,432,<utility-function><marginal-utility>,2012-03-30 05:11:40.687,,-4,44,,3
1167,825,<markets><finance>,2012-03-31 09:21:07.720,,2,87,0,
